date,total_value
2023-01-06,99922.23
2023-01-13,100407.23
2023-01-20,101758.32
2023-02-03,107508.89
2023-02-10,108194.26
2023-02-17,104147.49
2023-02-24,104474.95
2023-03-03,107262.3
2023-03-10,103962.77
2023-03-17,107960.81
2023-03-24,115255.38
2023-03-31,115619.15
2023-04-07,122704.48
2023-04-14,124278.02
2023-04-21,115934.07
2023-04-28,108120.47
2023-05-05,104797.06
2023-05-12,107285.92
2023-05-19,116917.95
2023-05-26,117718.36
2023-06-02,114808.03
2023-06-09,111818.82
2023-06-16,116273.21
2023-06-21,112984.08
2023-06-30,110900.03
2023-07-07,115850.97
2023-07-14,118221.57
2023-07-21,111840.53
2023-07-28,114998.74
2023-08-04,113554.43
2023-08-11,109414.85
2023-08-18,107751.22
2023-08-25,105409.27
2023-09-01,109175.48
2023-09-08,108299.92
2023-09-15,105761.05
2023-09-22,105683.82
2023-09-28,104635.18
2023-10-13,104428.06
2023-10-20,99877.51
2023-10-27,95815.14
2023-11-03,98297.27
2023-11-10,101008.01
2023-11-17,101403.83
2023-11-24,96715.08
2023-12-01,99061.05
2023-12-08,96595.53
2023-12-15,96034.97
2023-12-22,94419.12
2023-12-29,96060.44
2024-01-05,87182.7
2024-01-12,85523.12
2024-01-19,81713.89
2024-01-26,76998.5
2024-02-02,72106.9
2024-02-08,76450.58
2024-02-23,82752.74
2024-03-01,85063.98
2024-03-08,83267.04
2024-03-15,85545.59
2024-03-22,86581.27
2024-03-29,82531.3
2024-04-03,80709.57
2024-04-12,78445.92
2024-04-19,76257.32
2024-04-26,81738.37
2024-04-30,83563.38
2024-05-10,82870.28
2024-05-17,81977.15
2024-05-24,78277.83
2024-05-31,80839.98
2024-06-07,80024.14
2024-06-14,83779.9
2024-06-21,87496.38
2024-06-28,84868.24
2024-07-05,83924.12
2024-07-12,86362.61
2024-07-19,88080.97
2024-07-26,83897.39
2024-08-02,84441.37
2024-08-09,82220.29
2024-08-16,82341.33
2024-08-23,79100.05
2024-08-30,81491.6
2024-09-06,79207.0
2024-09-13,78668.44
2024-09-20,78380.55
2024-09-27,88927.35
2024-09-30,96557.76
2024-10-11,95641.46
2024-10-18,100268.32
2024-10-25,104647.38
2024-11-01,98911.75
2024-11-08,103695.6
2024-11-15,101587.6
2024-11-22,98788.97
2024-11-29,100900.39
2024-12-06,102335.37
2024-12-13,109807.62
2024-12-20,113640.2
2024-12-27,114129.25
2025-01-03,106222.09
2025-01-10,110915.94
2025-01-17,115506.68
2025-01-24,122032.33
2025-01-27,117540.94
2025-02-07,124028.21
2025-02-14,121890.61
2025-02-21,126068.18
2025-02-28,122665.69
2025-03-07,124065.27
2025-03-14,125489.65
2025-03-21,122323.26
2025-03-28,122319.76
2025-04-03,120529.67
2025-04-11,116869.09
2025-04-18,115320.58
2025-04-25,122070.77
2025-04-30,122155.81
2025-05-09,124324.57
2025-05-16,124559.0
2025-05-23,119906.78
2025-05-30,119018.98
2025-06-06,125313.64
2025-06-13,121453.54
2025-06-20,120721.01
2025-06-27,125167.68
2025-07-04,122960.77
2025-07-11,123379.34
2025-07-18,122137.24
2025-07-25,127885.09
2025-08-01,127830.56
2025-08-08,136056.68
2025-08-15,154344.62
2025-08-22,175177.42
2025-08-29,183247.01
2025-09-05,176481.56
2025-09-12,193166.74
2025-09-19,194134.41
2025-09-26,196414.15
2025-09-30,210951.65
2025-10-10,207556.46
2025-10-17,195639.1
2025-10-24,212789.67
2025-10-31,212513.71
2025-11-07,224713.91
2025-11-14,211941.53
2025-11-21,204569.38
2025-11-28,210707.03
2025-12-05,220401.77
2025-12-12,221703.89
2025-12-19,214816.69
2025-12-26,230002.86
2025-12-31,228905.35
2026-01-09,245354.33
2026-01-16,246716.76
2026-01-23,247506.47
2026-01-30,242369.79
2026-02-06,236787.64
2026-02-13,242980.84
2026-02-27,244157.02
2026-03-06,241931.67
2026-03-13,239337.56
2026-03-20,229606.49
2026-03-27,227185.47
2026-04-03,222195.44
2026-04-10,233352.73
2026-04-17,237059.93
2026-04-24,231947.65
2026-04-30,236623.27
2026-05-08,249398.94
2026-05-15,253146.6
2026-05-22,165801.14
2026-05-29,169828.13
2026-06-04,173317.88
