date,total_value
2023-01-03,100000.0
2023-01-04,100000.0
2023-01-05,100000.0
2023-01-06,99936.75
2023-01-09,99834.36
2023-01-10,100648.41
2023-01-11,100567.32
2023-01-12,100148.33
2023-01-13,99603.46
2023-01-16,101346.47
2023-01-17,102477.63
2023-01-18,102716.11
2023-01-19,103710.85
2023-01-20,103286.56
2023-01-30,103538.6
2023-01-31,103577.76
2023-02-01,104225.01
2023-02-02,104147.58
2023-02-03,105436.59
2023-02-06,106277.66
2023-02-07,106009.05
2023-02-08,105784.44
2023-02-09,107351.25
2023-02-10,106478.67
2023-02-13,106002.6
2023-02-14,105465.76
2023-02-15,105674.86
2023-02-16,103880.27
2023-02-17,102552.37
2023-02-20,102928.24
2023-02-21,102728.55
2023-02-22,103107.96
2023-02-23,103296.53
2023-02-24,103680.61
2023-02-27,103779.5
2023-02-28,104225.25
2023-03-01,104053.06
2023-03-02,102875.06
2023-03-03,103152.01
2023-03-06,104550.58
2023-03-07,103564.62
2023-03-08,104499.84
2023-03-09,105350.82
2023-03-10,104781.56
2023-03-13,104912.9
2023-03-14,105131.92
2023-03-15,105048.53
2023-03-16,102983.3
2023-03-17,103788.87
2023-03-20,103995.29
2023-03-21,103572.69
2023-03-22,105422.12
2023-03-23,105433.56
2023-03-24,104591.99
2023-03-27,105375.77
2023-03-28,103854.57
2023-03-29,104118.87
2023-03-30,105163.98
2023-03-31,105003.06
2023-04-03,106884.67
2023-04-04,106973.24
2023-04-06,109476.96
2023-04-07,110119.86
2023-04-10,109531.76
2023-04-11,109521.65
2023-04-12,110200.02
2023-04-13,109406.67
2023-04-14,110055.96
2023-04-17,109908.08
2023-04-18,109158.63
2023-04-19,108572.26
2023-04-20,108378.11
2023-04-21,106719.04
2023-04-24,106041.8
2023-04-25,104936.16
2023-04-26,106610.33
2023-04-27,105604.51
2023-04-28,106858.63
2023-05-04,105886.27
2023-05-05,104917.73
2023-05-08,106518.93
2023-05-09,104699.14
2023-05-10,105278.72
2023-05-11,106976.93
2023-05-12,107444.85
2023-05-15,108844.85
2023-05-16,108520.9
2023-05-17,109137.87
2023-05-18,108913.72
2023-05-19,110090.24
2023-05-22,109275.34
2023-05-23,109043.53
2023-05-24,109056.71
2023-05-25,110269.54
2023-05-26,110697.57
2023-05-29,109622.77
2023-05-30,109184.94
2023-05-31,109238.74
2023-06-01,108969.3
2023-06-02,110229.01
2023-06-05,110640.24
2023-06-06,111311.7
2023-06-07,109986.0
2023-06-08,110356.68
2023-06-09,109923.31
2023-06-12,109869.46
2023-06-13,109971.94
2023-06-14,108848.55
2023-06-15,111415.39
2023-06-16,111514.77
2023-06-19,111047.26
2023-06-20,111588.14
2023-06-21,110236.77
2023-06-26,109657.73
2023-06-27,110070.69
2023-06-28,110193.86
2023-06-29,110256.63
2023-06-30,110880.74
2023-07-03,111858.01
2023-07-04,113018.71
2023-07-05,112439.71
2023-07-06,113152.34
2023-07-07,111699.6
2023-07-10,112128.79
2023-07-11,112044.67
2023-07-12,112024.34
2023-07-13,112164.41
2023-07-14,110689.91
2023-07-17,110992.41
2023-07-18,110551.2
2023-07-19,109960.17
2023-07-20,109109.07
2023-07-21,108698.95
2023-07-24,108886.75
2023-07-25,109297.43
2023-07-26,109371.29
2023-07-27,108994.49
2023-07-28,109472.64
2023-07-31,110553.25
2023-08-01,110805.02
2023-08-02,111740.63
2023-08-03,111392.83
2023-08-04,111214.47
2023-08-07,111827.73
2023-08-08,112747.35
2023-08-09,111891.32
2023-08-10,112192.75
2023-08-11,110777.82
2023-08-14,110981.14
2023-08-15,110784.34
2023-08-16,109821.46
2023-08-17,110370.58
2023-08-18,110006.0
2023-08-21,109494.27
2023-08-22,110244.44
2023-08-23,108096.16
2023-08-24,109356.63
2023-08-25,108609.65
2023-08-28,109366.21
2023-08-29,112943.08
2023-08-30,114381.73
2023-08-31,114418.57
2023-09-01,114298.85
2023-09-04,114518.96
