date,total_value
2023-01-03,100000.0
2023-01-04,100000.0
2023-01-05,100000.0
2023-01-06,99936.73
2023-01-09,100377.82
2023-01-10,102319.27
2023-01-11,100549.16
2023-01-12,100941.36
2023-01-13,100983.31
2023-01-16,100401.03
2023-01-17,102425.76
2023-01-18,101997.49
2023-01-19,102739.25
2023-01-20,102636.28
2023-01-30,101764.43
2023-01-31,101080.51
2023-02-01,101871.41
2023-02-02,102176.36
2023-02-03,102268.68
2023-02-06,101912.53
2023-02-07,102325.66
2023-02-08,101780.35
2023-02-09,104501.74
2023-02-10,103663.74
2023-02-13,103834.09
2023-02-14,103251.54
2023-02-15,104206.25
2023-02-16,103600.38
2023-02-17,101429.15
2023-02-20,101802.14
2023-02-21,101484.1
2023-02-22,101218.06
2023-02-23,101142.33
2023-02-24,100367.79
2023-02-27,99719.15
2023-02-28,99780.68
2023-03-01,99832.13
2023-03-02,100179.65
2023-03-03,100859.34
2023-03-06,101232.64
2023-03-07,100032.25
2023-03-08,100009.21
2023-03-09,100788.59
2023-03-10,100048.92
2023-03-13,101763.28
2023-03-14,103876.2
2023-03-15,102647.1
2023-03-16,103474.03
2023-03-17,103021.59
2023-03-20,105418.07
2023-03-21,104991.27
2023-03-22,105663.17
2023-03-23,109321.01
2023-03-24,108945.55
2023-03-27,109533.44
2023-03-28,108587.61
2023-03-29,110686.14
2023-03-30,112569.98
2023-03-31,113105.62
2023-04-03,117829.76
2023-04-04,117791.23
2023-04-06,118196.22
2023-04-07,120094.93
2023-04-10,119349.28
2023-04-11,122075.57
2023-04-12,120391.65
2023-04-13,116950.19
2023-04-14,119020.25
2023-04-17,119174.19
2023-04-18,118108.6
2023-04-19,116809.63
2023-04-20,118715.79
2023-04-21,113275.66
2023-04-24,111256.97
2023-04-25,110226.47
2023-04-26,107577.87
2023-04-27,107343.38
2023-04-28,106934.28
2023-05-04,105292.59
2023-05-05,104300.7
2023-05-08,104372.17
2023-05-09,104271.65
2023-05-10,103846.24
2023-05-11,105339.44
2023-05-12,105771.58
2023-05-15,106531.97
2023-05-16,107729.31
2023-05-17,108749.64
2023-05-18,110300.06
2023-05-19,113478.46
2023-05-22,113391.45
2023-05-23,111657.58
2023-05-24,113090.26
2023-05-25,113140.51
2023-05-26,113369.49
2023-05-29,113343.3
2023-05-30,113292.13
2023-05-31,113118.17
2023-06-01,112075.63
2023-06-02,111467.94
2023-06-05,110858.62
2023-06-06,110060.63
2023-06-07,109698.6
2023-06-08,109971.77
2023-06-09,110204.83
2023-06-12,110574.39
2023-06-13,112036.98
2023-06-14,111832.21
2023-06-15,112779.19
2023-06-16,113122.96
2023-06-19,113835.25
2023-06-20,114550.56
2023-06-21,112886.62
2023-06-26,112149.39
2023-06-27,111912.33
2023-06-28,111187.02
2023-06-29,111559.94
2023-06-30,112470.87
2023-07-03,111934.88
2023-07-04,112040.69
2023-07-05,111133.16
2023-07-06,111339.69
2023-07-07,110264.42
2023-07-10,110309.38
2023-07-11,110955.49
2023-07-12,110226.12
2023-07-13,111212.21
2023-07-14,110842.53
2023-07-17,110288.32
2023-07-18,109380.97
2023-07-19,108998.01
2023-07-20,108136.65
2023-07-21,107873.72
2023-07-24,107811.62
2023-07-25,108154.35
2023-07-26,108443.52
2023-07-27,107481.64
2023-07-28,108001.08
2023-07-31,108250.9
2023-08-01,108311.72
2023-08-02,109212.85
2023-08-03,109074.39
2023-08-04,108398.76
2023-08-07,108723.04
2023-08-08,108812.13
2023-08-09,107767.09
2023-08-10,108094.8
2023-08-11,106540.67
2023-08-14,106071.74
2023-08-15,104621.36
2023-08-16,103047.92
2023-08-17,103326.36
2023-08-18,102874.34
2023-08-21,102100.32
2023-08-22,102220.54
2023-08-23,100278.62
2023-08-24,101097.2
2023-08-25,99894.2
2023-08-28,99450.6
2023-08-29,101382.84
2023-08-30,102462.69
2023-08-31,103458.64
2023-09-01,102669.05
2023-09-04,103107.84
