date,total_value
2023-01-03,100000.0
2023-01-04,100000.0
2023-01-05,100000.0
2023-01-06,100000.0
2023-01-09,100000.0
2023-01-10,100000.0
2023-01-11,100000.0
2023-01-12,100000.0
2023-01-13,100000.0
2023-01-16,100000.0
2023-01-17,100000.0
2023-01-18,100000.0
2023-01-19,100000.0
2023-01-20,100000.0
2023-01-30,100000.0
2023-01-31,99922.16
2023-02-01,101893.26
2023-02-02,100948.46
2023-02-03,102190.11
2023-02-06,101567.52
2023-02-07,100884.19
2023-02-08,99440.61
2023-02-09,101181.56
2023-02-10,100832.86
2023-02-13,101270.34
2023-02-14,99524.54
2023-02-15,99507.12
2023-02-16,97803.62
2023-02-17,95583.11
2023-02-20,97108.94
2023-02-21,96196.33
2023-02-22,96016.85
2023-02-23,96044.62
2023-02-24,95784.93
2023-02-27,96192.58
2023-02-28,95479.66
2023-03-01,95494.51
2023-03-02,95570.76
2023-03-03,100101.37
2023-03-06,99229.62
2023-03-07,98910.63
2023-03-08,102008.87
2023-03-09,102614.23
2023-03-10,101465.85
2023-03-13,101490.46
2023-03-14,101923.4
2023-03-15,103301.57
2023-03-16,102868.98
2023-03-17,104857.68
2023-03-20,106607.11
2023-03-21,106221.05
2023-03-22,106117.45
2023-03-23,108811.08
2023-03-24,108488.74
2023-03-27,106632.96
2023-03-28,104580.46
2023-03-29,105764.64
2023-03-30,110774.61
2023-03-31,108898.82
2023-04-03,117196.66
2023-04-04,122287.9
2023-04-06,122228.32
2023-04-07,124123.97
2023-04-10,124600.94
2023-04-11,126490.59
2023-04-12,124760.04
2023-04-13,121447.39
2023-04-14,123973.37
2023-04-17,124205.87
2023-04-18,123128.48
2023-04-19,121998.2
2023-04-20,123380.8
2023-04-21,118468.97
2023-04-24,117104.61
2023-04-25,116420.78
2023-04-26,114480.0
2023-04-27,113796.18
2023-04-28,114266.61
2023-05-04,111567.37
2023-05-05,110923.64
2023-05-08,110770.36
2023-05-09,110245.86
2023-05-10,110237.27
2023-05-11,112965.34
2023-05-12,113693.12
2023-05-15,113381.67
2023-05-16,116929.55
2023-05-17,118479.13
2023-05-18,118876.61
2023-05-19,122766.55
2023-05-22,121024.4
2023-05-23,119628.14
2023-05-24,119945.7
2023-05-25,120365.78
2023-05-26,122619.64
2023-05-29,123776.5
2023-05-30,124459.66
2023-05-31,124297.57
2023-06-01,122070.3
2023-06-02,120774.03
2023-06-05,121148.04
2023-06-06,118830.07
2023-06-07,120847.93
2023-06-08,119092.04
2023-06-09,121131.79
2023-06-12,121905.87
2023-06-13,125389.56
2023-06-14,124460.23
2023-06-15,122577.87
2023-06-16,122784.52
2023-06-19,125172.57
2023-06-20,124499.56
2023-06-21,122060.0
2023-06-26,119665.25
2023-06-27,119797.51
2023-06-28,119272.54
2023-06-29,119523.64
2023-06-30,120461.14
2023-07-03,121671.51
2023-07-04,125387.38
2023-07-05,126558.16
2023-07-06,127721.05
2023-07-07,126037.29
2023-07-10,125139.69
2023-07-11,129366.32
2023-07-12,126911.61
2023-07-13,130789.68
2023-07-14,129977.66
2023-07-17,129673.5
2023-07-18,127899.2
2023-07-19,126456.53
2023-07-20,124239.34
2023-07-21,124523.32
2023-07-24,123907.37
2023-07-25,124905.0
2023-07-26,124044.53
2023-07-27,122841.52
2023-07-28,123905.36
2023-07-31,122653.86
2023-08-01,123609.29
2023-08-02,122747.46
2023-08-03,122063.71
2023-08-04,121880.41
2023-08-07,122124.22
2023-08-08,121451.22
2023-08-09,119300.03
2023-08-10,119037.56
2023-08-11,117690.01
2023-08-14,117441.41
2023-08-15,115574.62
2023-08-16,113722.37
2023-08-17,114935.5
2023-08-18,113001.46
2023-08-21,113525.11
2023-08-22,115531.98
2023-08-23,113553.07
2023-08-24,113654.62
2023-08-25,111169.47
2023-08-28,110584.8
2023-08-29,110584.8
2023-08-30,110584.8
2023-08-31,110498.84
2023-09-01,110604.96
2023-09-04,112052.12
