stock_code,report_date,holder_top1_pct,holder_top10_pct,holder_count
688981,2020-12-31,62.736,86.56,10
688981,2021-03-31,60.695,86.275,10
688981,2021-06-30,63.496,86.33099999999999,10
688981,2021-09-30,57.203,81.59500000000001,10
688981,2021-12-31,57.233,81.267,10
688981,2022-03-31,57.217,81.376,10
688981,2022-06-30,56.862,81.04799999999999,10
688981,2022-09-30,53.262,79.934,10
688981,2022-12-31,53.194,80.817,10
688981,2023-03-31,53.176,80.87500000000001,10
688981,2023-06-30,53.278,81.155,10
688981,2023-09-30,53.175,82.26899999999999,10
688981,2023-12-31,53.192,82.173,10
688981,2024-03-31,53.179,81.849,10
688981,2024-06-30,53.243,81.842,10
688981,2024-09-30,53.151,82.181,10
688981,2024-12-31,53.181,81.12499999999999,10
688981,2025-03-31,54.053,80.76400000000001,10
688981,2025-06-30,54.924,81.318,10
688981,2025-08-29,60.886,80.81600000000002,10
688981,2025-09-30,60.768,80.29699999999998,10
688981,2025-12-31,55.987,80.18600000000002,10
688981,2026-03-31,56.287,79.83999999999999,10
002371,2010-03-31,4.529,14.113999999999999,10
002371,2010-06-30,17.619,27.945999999999998,10
002371,2010-09-30,15.91,42.535,10
002371,2010-12-31,19.471,47.21000000000001,10
002371,2011-03-31,17.368,53.9,10
002371,2011-06-30,17.229,50.904,10
002371,2011-09-30,17.183,49.035000000000004,10
002371,2011-12-31,17.183,49.54900000000001,10
002371,2012-03-31,16.981,46.050000000000004,10
002371,2012-06-30,16.848,47.520999999999994,10
002371,2012-09-30,19.468,50.983999999999995,10
002371,2012-12-31,17.822,51.864000000000004,10
002371,2013-03-31,64.67,83.35600000000001,10
002371,2013-06-30,64.67,80.44000000000001,10
002371,2013-09-30,55.159,75.079,10
002371,2013-12-31,55.159,73.61,10
002371,2014-03-31,53.037,69.23100000000001,10
002371,2014-06-30,53.037,67.873,10
002371,2014-09-30,53.037,67.076,10
002371,2014-12-31,53.037,66.603,10
002371,2015-03-31,52.31,66.069,10
002371,2015-06-30,52.31,67.38199999999999,10
002371,2015-09-30,52.31,69.49700000000001,10
002371,2015-12-31,52.339,69.53599999999999,10
002371,2016-03-31,51.91,65.43,10
002371,2016-06-30,51.91,63.044999999999995,10
002371,2016-09-30,5.35,25.791,10
002371,2016-12-31,5.35,23.251,10
002371,2017-03-31,5.253,24.121000000000002,10
002371,2017-06-30,5.253,24.119999999999997,10
002371,2017-09-30,50.41,61.673,10
002371,2017-12-31,50.41,61.001,10
002371,2018-03-31,49.155,59.948,10
002371,2018-06-30,49.15,58.315,10
002371,2018-09-30,49.123,59.412000000000006,10
002371,2018-12-31,49.123,60.06,10
002371,2019-03-31,49.123,59.029999999999994,10
002371,2019-06-30,49.123,59.568,10
002371,2019-09-30,38.912,64.08399999999999,10
002371,2019-12-31,38.912,64.162,10
002371,2020-03-31,38.91,67.386,10
002371,2020-06-30,38.903,67.25399999999999,10
002371,2020-09-30,38.803,67.786,10
002371,2020-12-31,38.789,67.10099999999998,10
002371,2021-03-31,38.789,69.669,10
002371,2021-06-30,38.788,64.013,10
002371,2021-09-30,38.687,62.49199999999999,10
002371,2021-12-31,38.675,62.870999999999995,10
002371,2022-03-31,38.527,62.520999999999994,10
002371,2022-06-30,36.218,60.548,10
002371,2022-09-30,36.144,60.291,10
002371,2022-12-31,33.878,61.995000000000005,10
002371,2023-03-31,33.748,61.254,10
002371,2023-06-30,33.727,60.82099999999999,10
002371,2023-09-30,33.712,59.827,10
002371,2023-12-31,33.707,59.248,10
002371,2024-03-31,33.631,60.698,10
002371,2024-06-30,33.583,61.279999999999994,10
002371,2024-09-30,33.45,60.622,10
002371,2024-12-31,33.42,59.69500000000001,10
002371,2025-03-31,33.384,62.48500000000001,10
002371,2025-06-30,33.36,63.873,10
002371,2025-09-30,33.233,65.561,10
002371,2025-12-31,33.222,66.356,10
002371,2026-03-31,33.212,65.19,10
688012,2019-09-30,2.065,6.33,10
