持股日期,当日收盘价,当日涨跌幅,持股数量,持股市值,持股数量占A股百分比,今日增持股数,今日增持资金,今日持股市值变化
2023-03-15,103.98,1.05938380795,457975,47620240.5,0.18,72539,7533175.15,7962730.46
2023-03-16,102.44,-1.481054048856,613279,62824300.76,0.25,155304,16067751.84,15204060.26
2023-03-22,160.15,17.068713450292,391953,62771272.95,0.16,-725328,-108704907.36,-90072767.85
2023-03-23,167.0,4.277240087418,788580,131692860.0,0.32,396627,66125653.44,68921587.05
2023-03-29,172.0,0.0,417606,71828232.0,0.17,-57678,-10124796.12,-9920616.0
2023-03-30,176.1,2.383720930233,517719,91170315.9,0.21,100113,17515770.48,19342083.9
2023-04-03,211.0,13.471363269696,382209,80646099.0,0.15,-187629,-36788418.03,-25315277.1
2023-04-04,215.51,2.137440758294,314455,67768197.05,0.12,-67754,-14469544.24,-12877901.95
2023-04-12,206.0,2.233250620347,546639,112607634.0,0.22,-240004,-48843214.04,-45900930.5
2023-04-13,188.0,-8.73786407767,1434798,269742024.0,0.59,888159,172338372.36,157134390.0
2023-04-19,221.8,13.290428031464,784636,174032264.8,0.32,-93694,-20203237.22,2072817.4
2023-04-20,266.16,20.0,723766,192637558.56,0.29,-60870,-15075672.9,18605293.76
2023-04-26,238.0,-4.032258064516,761568,181253184.0,0.31,105324,25190341.08,18504672.0
2023-04-27,230.75,-3.046218487395,911829,210404541.75,0.37,150261,34543501.29,29151357.75
2023-05-04,232.8,-6.693386773547,720111,167641840.8,0.29,85386,19995693.48,9277953.3
2023-05-10,199.08,-5.827814569536,1586398,315820113.84,0.65,701425,140193814.75,128736821.64
2023-05-11,196.02,-1.537070524412,1669776,327309491.52,0.68,83378,16608063.82,11489377.68
2023-05-17,187.54,1.642187415316,2575232,482959009.28,1.06,-302322,-56942348.7,-47978479.26
2023-05-18,196.81,4.942945504959,2494533,490949039.73,1.03,-80699,-15904158.92,7990030.45
2023-05-24,182.0,-1.146053989463,2578105,469215110.0,1.06,-268113,-48587437.86,-54802085.98
2023-05-25,194.5,6.868131868132,2443543,475269113.5,1.0,-134562,-25936825.5,6054003.5
2023-05-31,254.19,8.258091993186,4256030,1081840265.7,1.75,1797212,426819877.88,504509799.3
2023-06-01,237.01,-6.758723789291,4189349,992917606.49,1.71,-66681,-16458204.42,-88922659.21
2023-06-07,221.2,-0.918253079507,4756587,1052157044.4,1.95,-62304,-13782267.84,-23660371.35
2023-06-08,221.01,-0.085895117541,4657328,1029316061.28,1.91,-99259,-21720846.97,-22840983.12
2023-06-09,226.78,2.610741595403,4225740,958313317.2,1.73,-431588,-94012814.04,-71002744.08
2023-06-14,224.8,-3.477887505367,3906881,878266848.8,1.6,-206836,-46329195.64,-79817840.5
2023-06-15,211.0,-6.138790035587,3879536,818582096.0,1.58,-27345,-5978984.25,-59684752.8
2023-06-21,230.98,-13.49063670412,4089430,944576541.4,1.67,-328039,-80021833.66,-234887681.6
2023-06-28,202.95,3.182673242158,4167366,845766929.7,1.7,-150137,-31033317.9,-3442735.37
2023-06-29,193.0,-4.90268539049,4316286,833043198.0,1.76,148920,28628380.8,-12723731.7
2023-07-05,200.8,-0.795415246282,4114763,826244410.4,1.68,87180,17581590.6,11021335.37
2023-07-06,206.82,2.998007968127,4274704,884094281.28,1.75,159941,33624396.43,57849870.88
2023-07-12,196.29,-6.661911554922,4617717,906411669.93,1.89,46411,9471092.77,-54933981.87
2023-07-13,200.1,1.941005654898,4425058,885454105.8,1.81,-192659,-38269783.76,-20957564.13
2023-07-19,182.37,-1.421621621622,4460163,813399926.31,1.82,171161,31818829.9,19934556.31
2023-07-20,176.0,-3.492899051379,4915057,865050032.0,2.01,454894,81457868.58,51650105.69
2023-07-26,169.42,1.449101796407,5253901,890115907.42,2.15,-124253,-21283296.37,-8035810.58
2023-07-27,165.14,-2.526266084288,5302852,875712979.28,2.17,48951,8109222.66,-14402928.14
2023-08-02,166.9,1.292711051769,6393443,1067065636.7,2.61,-96153,-16001782.26,-2225096.22
2023-08-03,168.21,0.784901138406,6245576,1050568338.96,2.55,-147867,-24843134.67,-16497297.74
2023-08-09,165.12,-2.382500738989,6410496,1058501099.52,2.53,306290,51015662.4,25974654.62
2023-08-10,164.0,-0.678294573643,6525294,1070148216.0,2.58,114798,18887714.94,11647116.48
2023-08-16,152.8,-3.638771520464,7295091,1114689904.8,2.88,323534,49979532.32,9210111.31
2023-08-17,156.94,2.70942408377,7282064,1142847124.16,2.88,-13027,-2057484.38,28157219.36
2023-08-23,150.14,-4.739546983059,7504778,1126767368.92,2.97,237325,35779117.0,-18655898.41
2023-08-24,150.3,0.106567203943,7245696,1089028108.8,2.86,-259082,-39668045.02,-37739260.12
2023-08-30,159.86,9.523157029323,7683292,1228251059.12,3.04,-254060,-39681631.4,69715161.2
2023-08-31,158.8,-0.663080195171,6744094,1070962127.2,2.66,-939198,-147651317.58,-157288931.92
2023-09-06,152.95,5.847750865052,6615667,1011866267.65,2.61,351912,52206145.2,106753670.15
2023-09-07,138.88,-9.199084668192,6006417,834171192.96,2.37,-609250,-87080102.5,-177695074.69
2023-09-13,136.38,-4.092827004219,5854982,798502445.16,2.31,342832,46902845.92,14674715.16
2023-09-14,133.58,-2.053086962898,5853257,781878070.06,2.31,-1725,-232254.0,-16624375.1
2023-09-15,133.97,0.291959874233,6814626,912955445.22,2.69,961369,127044913.35,131077375.16
2023-09-20,123.3,-2.752583011278,7914401,975845643.3,3.13,275068,34400004.08,7254612.23
2023-09-21,123.8,0.405515004055,7919283,980407235.4,3.13,4882,611372.86,4561592.1
2023-09-27,126.8,-2.775647906763,9160459,1161546201.2,3.62,321130,41098217.4,8720913.02
2023-09-28,123.95,-2.247634069401,9415877,1167097954.15,3.72,255418,32118813.5,5551752.95
2023-10-11,127.0,2.734185406892,9671907,1228332189.0,3.82,370987,47315681.98,78552458.6
2023-10-12,123.9,-2.44094488189,9590009,1188202115.1,3.79,-81898,-10220051.42,-40130073.9
2023-10-13,121.04,-2.308313155771,10880221,1316941949.84,4.3,1290212,156309183.8,128739834.74
2023-10-16,117.05,-3.296430931923,11744826,1374731883.3,4.4,864605,101902345.3,57789933.46
2023-10-17,115.47,-1.349850491243,11870499,1370686519.53,4.45,125673,14566757.43,-4045363.77
2023-10-18,120.2,4.096302069802,10705383,1286787036.6,4.01,-1165116,-145324918.68,-83899482.93
2023-10-19,144.24,20.0,11270719,1625688508.56,4.22,565336,77908954.16,338901471.96
2023-10-20,135.55,-6.024681087077,9836502,1333337846.1,3.69,-1434217,-196774572.4,-292350662.46
2023-10-24,108.66,0.202877167097,10321007,1121480620.62,3.87,484505,52631778.15,-211857225.48
2023-10-25,112.68,3.699613473219,10290870,1159575231.6,3.86,-30137,-3492275.56,38094610.98
2023-10-26,111.26,-1.260205892794,10268350,1142456621.0,3.85,-22520,-2526744.0,-17118610.6
