序号,股票代码,股票简称,每股收益,营业总收入-营业总收入,营业总收入-同比增长,营业总收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期
426,688981,中芯国际,0.36,11854010000.0,62.5627180398,15.5402,2843451000.0,175.5,-16.7321,14.196865455686,2.6,1.317106880382,41.1715360456,半导体,2023-05-12
473,688728,格科微,0.1,1734866190.0,-10.4615968514,-0.5341,241477602.0,-17.36,-25.7009,3.121759502105,3.15,-0.003957267902,33.7265785899,半导体,2023-05-04
557,688256,寒武纪,-0.72,62990732.03,74.3397290516,-87.3672,-287383523.88,-39.7831228793,-47.0061,14.226697878783,-4.95,-0.982380763253,56.5807987483,半导体,2023-04-29
582,688160,步科股份,0.18,100784138.47,-10.0989226302,-30.9775,15119717.46,-13.11,-12.3073,7.949463635119,2.29,0.134955944881,38.6758637835,自动化设备,2023-04-29
589,688123,聚辰股份,0.47,200841522.87,50.7453275927,32.4233,57234426.11,246.9,123.0988,13.14281787553,3.68,0.511392632406,58.8833860449,半导体,2023-04-29
607,688017,绿的谐波,0.2165,93853241.98,22.0056243279,-24.2487,36504004.64,0.18,-22.7311,15.576285073831,1.97,0.075751290062,52.4193450137,自动化设备,2023-04-29
609,688012,中微公司,0.19,949143575.28,57.3130849815,-8.327,117189974.5,-14.94,-75.0431,22.86919054337,0.84,-0.444521802321,45.4666957992,半导体,2023-04-29
927,600745,*ST闻泰,0.4,14802578992.5,23.4439464103,5.1107,502669384.19,-22.87,-11.8445,26.236713570028,1.48,0.917842951608,17.7468795592,半导体,2023-04-29
1086,600183,生益科技,0.21,4767684604.18,5.823764982,-2.6149,482443630.07,-11.37,-1.5987,5.885211044244,3.61,0.197542945566,23.6464676707,元件,2023-04-29
1308,002747,埃斯顿,0.07,804694001.9,26.5919607765,11.9641,60071695.14,83.7,75.73,3.023095070116,2.3,-0.03586839473,32.7356032489,自动化设备,2023-04-29
1419,002371,北方华创,0.3927,2135734862.37,50.0419317106,-39.1546,206460350.67,183.18,-50.7389,32.82187674085,1.21,-2.461495959514,44.6440919315,半导体,2023-04-29
1435,002335,科华数据,0.21,993271724.12,2.3792462932,-30.4523,98096046.28,2.71,-36.4317,7.852491219966,2.74,0.018044419087,32.4606804644,其他电源设备Ⅱ,2023-04-29
1550,001309,德明利,0.32,247996841.35,15.4922156456,-30.8957,18970100.96,11.38,-44.5876,9.5822414395,3.37,-1.196303068833,21.2239057133,半导体,2023-04-29
1593,000837,秦川机床,0.0668,1119219977.04,-28.3444296763,13.7547,60070532.38,-15.03,152.0521,3.653250249233,1.85,-0.132581923291,19.444916637,通用设备,2023-04-29
1629,000636,风华高科,0.2,1102067746.02,-6.122617052,0.1998,180298531.14,-3.16,182.7637,7.907249440744,2.57,-0.136348032797,24.9853823555,元件,2023-04-29
1759,688766,普冉股份,0.82,224108012.59,-4.9056476008,-19.7485,41517801.42,8.07,-39.3167,54.63797350439,2.13,-2.175820194195,33.4218222295,半导体,2023-04-28
1804,688396,华润微,0.4692,2514052171.16,22.9442536516,8.2852,619376369.86,54.88,6.0118,13.569324313931,3.5191,0.783011458435,36.5117605386,半导体,2023-04-28
1823,688320,禾川科技,0.17,190835361.8,14.86,-7.8996,19817133.69,-17.37,-7.8762,5.772643030952,2.96,-0.601591616441,32.2729677504,自动化设备,2023-04-28
1867,688126,沪硅产业,-0.006,786442306.89,47.0935896936,12.4226,-15152150.82,-267.19,-133.336,5.178299314328,-0.12,0.060047883607,21.1873724608,半导体,2023-04-28
1869,688110,东芯股份,0.25,344460754.71,82.8620177371,-1.3503,110115834.27,216.92,17.5259,8.888368109881,2.84,0.199088210219,49.9130898249,半导体,2023-04-28
1891,688019,安集科技,0.74,233076596.48,95.4069970006,7.8517,39600955.23,1830.27,41.2088,23.440819497645,3.23,0.598257950402,51.3216125885,电子化学品Ⅱ,2023-04-28
1895,688008,澜起科技,0.27,900423154.51,200.6122952252,-7.1078,306098537.77,128.23,-3.3437,7.738874734897,3.57,0.228407377083,43.1853398996,半导体,2023-04-28
1926,603986,兆易创新,1.04,2229810940.28,39.0188372729,2.2718,686103249.81,127.65,-0.3933,21.296181633503,4.95,-0.000980937814,49.4911066174,半导体,2023-04-28
2137,601138,工业富联,0.16,105062471000.0,6.7939164964,-21.7119,3255787000.0,2.11,-63.8368,6.16976779644,2.72,0.088436385686,6.771073374,消费电子,2023-04-28
2178,600900,长江电力,0.1313,12301661386.16,38.6821932727,-35.9246,3106997248.83,9.34,-53.2129,8.109583149489,1.4,0.186844535189,47.4673516273,电力,2023-04-28
2221,600703,三安光电,0.1,3107276643.09,14.3482469313,2.1957,428946027.77,-22.94,1490.4095,6.893350631568,1.4,0.055225231232,21.9319016849,光学光电子,2023-04-28
2291,600406,国电南瑞,0.06,5754792012.74,16.9517928069,-69.995,379084849.02,88.37,-84.5246,6.900314890021,0.93,-0.248271623577,23.4030766597,电网设备,2023-04-28
2505,300782,卓胜微,0.8607,1330113047.61,12.4312396428,15.6623,459354476.73,-6.7,-24.4118,24.288662391176,5.84,0.67074703922,52.4301836624,半导体,2023-04-28
2541,300604,长川科技,0.12,537645018.2,82.3710570387,21.4862,71096853.35,60.1,-19.8754,3.06725920822,3.93,-0.295993189472,53.0888553075,半导体,2023-04-28
2567,300503,昊志机电,0.06,228519782.7,-12.3146609939,15.7708,19369841.36,-44.74,168.1433,4.301722458311,1.48,0.017733761189,41.3160658804,通用设备,2023-04-28
2639,300161,华中数控,-0.21,247005032.48,7.1581201634,-58.591,-42041480.05,-57.7,-169.3408,8.008681516611,-2.61,-1.166950262124,31.1058376295,通用设备,2023-04-28
2722,002896,中大力德,0.13,204748409.23,-0.0482808875,-2.9058,17399914.53,-5.65,41.8792,7.304996080481,2.25,-0.107509006058,27.1269699085,通用设备,2023-04-28
2832,002409,雅克科技,0.3121,965112203.01,8.6876056247,-11.4654,148552419.4,22.14,370.2134,12.820885275325,2.45,0.147224758884,31.8537186786,半导体,2023-04-28
2881,002185,华天科技,0.0645,3007617767.32,15.7971666403,-6.8766,206843720.36,-26.61,-46.6478,4.751523147565,1.37,0.120488945238,17.9269705346,半导体,2023-04-28
2893,002129,TCL中环,0.4064,13367839314.9,79.1255987313,11.2537,1310735501.27,142.08,3.3605,10.155261917118,4.06,0.295995014733,18.9340532897,光伏设备,2023-04-28
2947,000977,浪潮信息,0.2297,17276883283.57,48.1139305526,-16.9399,333981157.76,38.33,-48.7737,9.97115757424,2.18,-10.51229097701,11.1809164599,计算机设备,2023-04-28
3300,601985,中国核电,0.16,17099460204.21,22.7815303042,5.2526,2885052513.7,53.25,88.3472,4.113460312306,4.07,0.543561705738,51.4578513135,电力,2023-04-27
3517,300737,科顺股份,0.087,1734631538.48,18.7056861753,-16.931,99048987.2,-40.82,14057.5396,4.631181906116,1.97,-0.929566325199,25.7412447511,装修建材,2023-04-27
3569,300502,新易盛,0.26,738513303.86,18.289471854,-16.9356,132422835.12,17.81,-32.8003,8.067958194403,3.29,0.033868685968,33.1165762081,通信设备,2023-04-27
3612,300236,上海新阳,-0.0434,245516135.01,18.9521600978,-19.3443,-13603550.88,-1672.86,-170.8812,14.82119062726,-0.28,-0.237079708514,31.1155404254,电子化学品Ⅱ,2023-04-27
3645,300054,鼎龙股份,0.0759,569699143.28,9.5669621458,-19.1481,71368935.36,90.12,13.4195,4.358578746122,1.76,0.077064101768,38.9954763528,电子化学品Ⅱ,2023-04-27
3687,002837,英维克,0.03,400173374.16,17.0995369094,-44.7688,12686178.44,-59.26,-76.3448,5.592486038387,0.68,0.175616071742,27.3831388183,专用设备,2023-04-27
3922,688498,源杰科技,0.52,58677673.75,50.0995683315,-25.0432,23541483.07,68.8650962628,-33.0797,,,,66.7075661124,半导体,2023-04-26
3976,688041,海光信息,0.07,967441078.35,529.7617047658,1.7891,143457665.75,257.6776051688,-29.2264,2.774470204829,2.6031,-0.364044036076,64.9564822813,半导体,2023-04-26
4061,603019,中科曙光,0.08,2180562684.21,9.9853949645,-53.7843,109213120.31,39.61,-83.5371,8.760481157031,0.86,-0.708333632777,20.9096145239,计算机设备,2023-04-26
4099,600584,长电科技,0.48,8138342221.17,21.2442857639,-5.2061,861427410.2,123.04,2.1703,12.262332740992,4.02,0.921353823455,18.9125841529,半导体,2023-04-26
4336,300346,南大光电,0.15,411042492.06,94.6675651893,49.1337,80669614.7,89.38,559.2592,4.740337898747,4.12,-0.027627404991,48.0725453906,电子化学品Ⅱ,2023-04-26
4475,002281,光迅科技,0.21,1711941911.38,13.3387339024,-2.5392,143135428.33,8.71,29.0707,8.220859581776,2.53,0.263262994939,22.1283591664,通信设备,2023-04-26
4573,688525,佰维存储,0.04,702244533.03,,24.7702,15594606.41,,1105.8367,,,,12.2559459222,半导体,2023-04-25
4706,301368,丰立智能,0.15,131501784.23,19.45780901,-17.7058,13220793.95,15.8347040785,-23.8533,,3.97,,21.3645252606,通用设备,2023-04-25
4714,301308,江波龙,0.44,2330322135.09,-5.7681809385,12.5622,162139559.99,-20.75,149.3686,12.185635639853,3.65,-0.890259915263,16.8750799556,半导体,2023-04-25
4819,300607,拓斯达,0.13,928893987.73,17.4528977111,-7.4338,53837484.98,-41.53,180.2575,5.10059266304,2.41,0.113227548973,24.879838406,自动化设备,2023-04-25
4879,300274,阳光电源,0.28,4567689691.24,36.4817513431,-47.8749,410913211.59,6.26,427.2666,10.835828334763,2.59,-1.132883185588,29.4832194928,光伏设备,2023-04-25
4887,300223,北京君正,0.481,1413553942.45,32.3675103621,-4.5477,231658096.02,92.42,-20.3594,21.765844126835,2.21,-0.594111779089,37.4137282914,半导体,2023-04-25
4902,300124,汇川技术,0.27,4778176035.54,40.0108114023,3.9765,717395632.59,11.0,-33.6679,6.255718269355,4.41,-0.029605766051,34.5661171452,自动化设备,2023-04-25
4995,002049,紫光国微,0.6246,1341294138.8,40.8349634826,-13.6053,530617525.03,63.91,6.8966,12.523013550968,7.07,-0.330376887153,63.8940096336,半导体,2023-04-25
5094,300567,精测电子,0.1,603862879.84,1.5492814453,-5.7759,28408773.64,-56.05,187.8252,11.814319113769,0.85,-1.223053605422,42.3338648283,通用设备,2023-04-24
5097,300308,中际旭创,0.27,2088622649.99,41.91341577,-11.9957,217412603.4,63.38,-31.3883,14.664232833523,1.87,1.125188384468,26.2810836257,通信设备,2023-04-24
5129,605358,立昂微,0.52,756301050.52,63.8645575489,-3.9827,238011304.71,214.02,21.3926,16.462741886115,3.11,-0.09130083064,50.2605983766,半导体,2023-04-22
5193,300661,圣邦股份,0.7333,775336674.31,96.8068560625,10.2779,260347302.3,244.98,4.8932,11.402832749654,10.22,1.229411691307,60.620962728,半导体,2023-04-22
5388,300394,天孚通信,0.212,282751462.83,16.1759565388,6.109,82898306.66,18.09,-11.2473,6.165953891806,3.49,0.304185154343,49.693888139,通信设备,2023-04-21
5410,002230,科大讯飞,0.05,3505985011.99,40.1663335724,-52.9123,110785750.36,-20.57,-86.6152,7.287284676668,0.66,-0.508621979894,40.5333790595,软件开发,2023-04-21
5509,002472,双环传动,0.15,1655074189.08,40.9193690832,24.8849,118697565.47,124.05,18.9511,6.428260196013,2.4,0.02268630343,19.3479549184,汽车零部件,2023-04-20
5540,603501,豪威集团,0.76,5538237003.29,-10.843411517,-4.3324,896204454.11,-13.9,-6.4215,19.24046143296,5.38,-0.909271051248,35.3071708932,半导体,2023-04-19
5586,603083,剑桥科技,-0.42,477436593.89,-38.14916476,-45.0326,-107247686.39,-489.52,-502.3584,6.420469343591,-6.34,0.08184510987,5.5285803095,通信设备,2023-04-18
5634,000988,华工科技,0.22,2858113370.5,59.8062876244,2.1312,225973833.05,98.73,655.5232,7.578228865584,3.01,-0.135898145444,18.0174992471,自动化设备,2023-04-17
5690,688676,金盘科技,0.1,919476096.53,62.1704567154,-9.4312,41962720.44,-11.97,-37.4996,5.900192457552,1.69,-0.605650904816,18.240697876,电网设备,2023-04-11
386,300161,华中数控,-0.2455,626899691.21,-5.6277104267,53.8004,-48779284.73,-26.05,83.9734,7.958090087674,-3.03,-1.311337059723,29.271584096,通用设备,2023-09-01
571,688525,佰维存储,0.13,1384277744.61,3.3482863088,-2.8781,49526455.81,-26.9425399352,117.5871,4.839879023504,2.68,-0.586931953418,14.9532762219,半导体,2023-08-31
580,688396,华润微,1.0261,5145746527.96,15.5083606628,4.6794,1354528307.86,26.82,18.6043,14.145934811403,7.5359,1.259781610342,37.471773361,半导体,2023-08-31
593,688256,寒武纪,-1.55,171783593.74,24.5962617619,72.7125,-622409330.69,-58.9388064306,-16.5779,13.62314239255,-10.99,-2.079469125717,54.9298349951,半导体,2023-08-31
621,688019,安集科技,2.21,503365657.88,77.859313646,15.9658,126860678.1,75.75,120.3475,17.794122134708,10.04,0.830317216573,52.5541286674,电子化学品Ⅱ,2023-08-31
622,688017,绿的谐波,0.5436,243405653.84,32.2816871533,59.3471,91640501.15,9.87,51.0423,11.001165016148,4.9,0.168354803184,50.9574372753,自动化设备,2023-08-31
702,601985,中国核电,0.289,34572467790.41,14.9819273238,2.1846,5439201510.84,17.36,-11.4745,4.210767738848,7.21,1.149673447733,50.606566173,电力,2023-08-31
767,600900,长江电力,0.4705,31458172893.56,58.0694081339,60.71,11513304179.93,31.57,159.8986,7.685794595591,4.5,0.782176238349,57.04360326,电力,2023-08-31
843,600406,国电南瑞,0.26,16322522234.38,10.2578080112,83.6336,2110386857.08,14.46,356.7057,5.680646824563,5.45,0.085793601412,27.3668798548,电网设备,2023-08-31
983,301308,江波龙,1.0,4904112712.31,-7.4988800759,10.4478,370302481.72,-45.57,28.385,13.056644510581,8.04,0.929099804992,17.3598220674,半导体,2023-08-31
1044,300223,北京君正,1.0611,2804413134.08,20.0618409732,-1.6055,511003843.55,43.94,20.5854,22.483074838515,4.83,-0.287504056498,39.139258667,半导体,2023-08-31
1096,002747,埃斯顿,0.09,1655341597.69,6.00158886,5.7107,76301554.83,21.32,-72.9825,3.02078510269,2.92,-0.119761996545,33.1365753308,自动化设备,2023-08-31
1157,002335,科华数据,0.36,2212968834.67,-0.3249837278,22.7959,166087818.68,-10.52,-30.6886,7.910649578557,4.6,1.336754740718,30.993150525,其他电源设备Ⅱ,2023-08-31
1631,688728,格科微,0.21,3294417161.0,-10.626239303,-10.1054,513659759.0,-20.23,12.7153,3.211675229564,6.6,0.071064501398,32.615226199,半导体,2023-08-30
1634,688676,金盘科技,0.22,1974509255.95,32.3425143022,14.7429,95567743.84,-14.89,27.7444,5.832916020625,3.82,-0.795698805708,18.6247520209,电网设备,2023-08-30
1670,688320,禾川科技,0.45,466820967.99,26.3689727707,44.6197,56610271.15,3.49,85.6633,9.933289569988,6.07,-0.71847975423,32.5039970084,自动化设备,2023-08-30
