date,open,high,low,close,volume,amount
2017-08-22,4.7905603000,5.7486723600,4.7905603000,5.7486723600,8200,167810.0000
2017-08-23,6.3246472400,6.3246472400,6.3246472400,6.3246472400,2663,60822.0000
2017-08-24,6.9560043200,6.9560043200,6.9560043200,6.9560043200,4000,100480.0000
2017-08-25,7.6510509300,7.6510509300,7.6510509300,7.6510509300,5126,141631.0000
2017-08-28,8.4153252900,8.4153252900,8.4153252900,8.4153252900,7700,234003.0000
2017-08-29,9.2571347300,9.2571347300,9.2571347300,9.2571347300,15493,517930.0000
2017-08-30,10.1820174700,10.1820174700,10.1820174700,10.1820174700,35964,1322396.0000
2017-08-31,11.2010499500,11.2010499500,11.2010499500,11.2010499500,53530,2165288.0000
2017-09-01,12.3225395000,12.3225395000,12.3225395000,12.3225395000,141089,6278460.0000
2017-09-04,13.5547934500,13.5547934500,13.5547934500,13.5547934500,87883,4301872.0000
2017-09-05,14.9116573500,14.9116573500,13.7514002600,14.4547542000,14544010,757280960.0000
2017-09-06,14.1224610000,15.6067039600,13.9590835100,14.9531940000,12865746,691417648.0000
2017-09-07,14.1667667600,16.3322107800,14.1667667600,15.3685605000,12578288,682036032.0000
2017-09-08,15.1138023800,16.7808066000,15.1138023800,15.8808458500,11469737,662745920.0000
2017-09-11,17.4703149900,17.4703149900,17.4703149900,17.4703149900,1125049,70979341.0000
2017-09-12,19.2176234000,19.2176234000,19.2176234000,19.2176234000,771241,53524125.4000
2017-09-13,20.7683250000,20.7683250000,19.3006967000,20.1646590200,14643053,1054568109.0000
2017-09-14,19.7216014200,20.1535825800,18.5530370000,18.8631773200,10504452,734784695.8300
2017-09-15,18.7967186800,19.6579118900,17.5838485000,17.7444568800,10240709,689348460.6900
2017-09-18,17.4952369800,18.2207438000,17.0577176000,17.8330684000,7412156,475097346.3300
2017-09-19,17.2515553000,17.7029202300,17.0577176000,17.2349406400,6254844,392346165.5800
2017-09-20,17.1657128900,17.8579903900,16.9552605300,17.7223040000,6525818,410509350.6900
2017-09-21,17.5284663000,17.8884506000,15.9500736000,16.0054558000,7869659,479085465.8900
