date,open,high,low,close,volume,amount
2004-06-15,1.8675617100,1.9946732400,1.8661648800,1.9555620000,21152785,292238775.0000
2004-06-16,1.9248317400,1.9695303000,1.8871173300,1.9569588300,9464706,130492025.0000
2004-06-17,1.9555620000,2.0533401000,1.9374032100,1.9429905300,9702514,138477530.0000
2004-06-18,1.9290222300,1.9485778500,1.8577839000,1.9010856300,6133471,83488487.0000
2004-06-21,1.9010856300,1.9807049400,1.8899109900,1.9639429800,5042764,70012646.0000
2004-06-22,1.9639429800,2.0351813100,1.9415937000,1.9751176200,8183606,116519810.0000
2004-06-23,1.9555620000,1.9821017700,1.8968951400,1.9751176200,3463949,48174252.0000
2004-06-24,1.9695303000,1.9960700700,1.9304190600,1.9374032100,3315846,46456634.0000
2004-06-25,1.9290222300,1.9555620000,1.7949265500,1.8019107000,4886117,65358264.0000
2004-06-28,1.7879424000,1.7893392300,1.6245132900,1.6259101200,3386494,40674059.0000
2004-06-29,1.6217196300,1.7041326000,1.5937830300,1.6971484500,2678956,31873183.0000
2004-06-30,1.6971484500,1.7027357700,1.6342911000,1.6426720800,1351772,16160755.0000
2004-07-01,1.6342911000,1.7264818800,1.6203228000,1.7027357700,2439494,29627904.0000
2004-07-02,1.7013389400,1.7097199200,1.6594340400,1.6887674700,1504074,18130960.0000
2004-07-05,1.6873706400,1.7027357700,1.6636245300,1.7013389400,771347,9303394.0000
2004-07-06,1.7083230900,1.7544184800,1.7027357700,1.7404501800,2842568,35166720.0000
2004-07-07,1.7446406700,1.7446406700,1.6943547900,1.7222913900,1388576,16992444.0000
2004-07-08,1.7111167500,1.7250850500,1.6789896600,1.7222913900,734849,8962569.0000
2004-07-09,1.7181009000,1.7250850500,1.6845769800,1.6943547900,1208910,14705987.0000
2004-07-12,1.6775928300,1.6775928300,1.5993703500,1.6049576700,1878693,21939357.0000
2004-07-13,1.6049576700,1.6273069500,1.5379098300,1.5672432600,902496,10122131.0000
2004-07-14,1.5714337500,1.5784179000,1.5225447000,1.5686400900,1185488,13131936.0000
2004-07-15,1.5686400900,1.6007671800,1.5407034900,1.5867988800,891804,10079390.0000
2004-07-16,1.6007671800,1.6594340400,1.5812115600,1.6454657400,2371827,27773306.0000
2004-07-19,1.6454657400,1.6552435500,1.6273069500,1.6314974400,942889,11046832.0000
2004-07-20,1.6314974400,1.6706086800,1.6217196300,1.6468625700,1022313,12052127.0000
2004-07-21,1.6412752500,1.6901643000,1.6273069500,1.6468625700,1024447,12203599.0000
2004-07-22,1.6482594000,1.6594340400,1.5840052200,1.6007671800,1100928,12777393.0000
