date,open,high,low,close,volume,amount
2018-01-18,9.6055003500,10.4759301300,9.6055003500,10.4759301300,7100,167873.0000
2018-01-19,11.5222043100,11.5222043100,11.5222043100,11.5222043100,1400,36694.0000
2018-01-22,12.6739851300,12.6739851300,12.6739851300,12.6739851300,2600,74958.0000
2018-01-23,13.9400648100,13.9400648100,13.9400648100,13.9400648100,2983,94590.9300
2018-01-24,15.3336316800,15.3336316800,15.3336316800,15.3336316800,9500,331360.0000
2018-01-25,16.8678740700,16.8678740700,16.8678740700,16.8678740700,16100,617757.0000
2018-01-26,18.5559803100,18.5559803100,18.5559803100,18.5559803100,48841,2061578.6100
2018-01-29,20.4111387300,20.4111387300,20.4111387300,20.4111387300,80404,3733157.7200
2018-01-30,22.4509337700,22.4509337700,22.4509337700,22.4509337700,303700,15509959.0000
2018-01-31,24.6973459800,24.6973459800,24.6973459800,24.6973459800,281352,15806355.3600
2018-02-01,26.3766600000,27.1679598000,25.2028986300,26.8162710000,14508743,860153604.3200
2018-02-02,25.7392240500,26.5700888400,24.1346439000,24.1346439000,8595102,493262821.2700
2018-02-05,21.9805500000,22.5080832000,21.7211795100,21.7211795100,5127411,255326216.7000
2018-02-06,19.7033650200,20.5737948000,19.5495011700,19.5495011700,6467867,291226842.6900
2018-02-07,20.6617170000,21.5057701200,19.7824950000,20.7936003000,8438467,402867446.9500
2018-02-08,19.7956833300,21.4749973500,19.1230785000,20.9694447000,6968119,322202133.5500
2018-02-09,19.7956833300,22.6355703900,19.7912872200,20.9474641500,8281643,399998743.2100
2018-02-12,21.8047056000,23.0444086200,21.4090557000,23.0444086200,6852839,347597231.1000
2018-02-13,23.7389940000,23.7389940000,20.7408469800,20.7408469800,6751307,334086606.4700
2018-02-14,19.7824950000,20.4858726000,18.6658830600,19.3428840000,6223562,276641629.6400
2018-02-22,19.5407089500,20.7056781000,19.1802279300,20.1473721300,4615133,209675625.0900
2018-02-23,19.9319627400,20.4726842700,19.7473261200,20.3935542900,4226722,193746506.4400
2018-02-26,21.2288151900,21.7387639500,20.8815225000,21.4925817900,5326774,258817752.9100
2018-02-27,21.1452891000,23.2686102300,21.1145163300,22.1344138500,6166674,312281409.7100
2018-02-28,21.4969779000,21.4969779000,19.9363588500,19.9935082800,5756736,269760784.6600
2018-03-01,19.8352483200,21.9937383300,19.8352483200,21.9937383300,3398696,163187395.4500
2018-03-02,23.0224280700,24.1917933300,22.9916553000,24.1917933300,10691870,581711195.7900
2018-03-05,24.6929498700,26.6096538300,24.1786050000,26.6096538300,9849805,574397888.2300
2018-03-06,28.1351040000,29.2693003800,27.3525964200,29.2693003800,7794095,507014338.0000
2018-03-07,31.3398681900,32.1971096400,30.7683738900,32.1971096400,7863801,569505318.0400
2018-03-08,35.1556916700,35.4150621600,34.2896580000,35.4150621600,1989184,158992697.6200
2018-03-09,35.4150621600,35.4150621600,35.4150621600,35.4150621600,0,0.0000
2018-03-12,35.4150621600,35.4150621600,35.4150621600,35.4150621600,0,0.0000
2018-03-13,35.4150621600,35.4150621600,35.4150621600,35.4150621600,0,0.0000
2018-03-14,35.4150621600,35.4150621600,35.4150621600,35.4150621600,0,0.0000
2018-03-15,35.4150621600,35.4150621600,35.4150621600,35.4150621600,0,0.0000
2018-03-16,38.9583268200,38.9583268200,38.9583268200,38.9583268200,740000,65578800.0000
2018-03-19,42.8444880600,42.8532802800,41.7630450000,42.8532802800,4308921,419048750.1800
2018-03-20,44.8403220000,47.1394875300,43.8248205900,47.1394875300,7896968,823599543.0500
2018-03-21,50.1156540000,50.7223171800,47.1394875300,49.1704903500,8402358,940238163.0200
2018-03-22,50.5552650000,51.8301369000,46.9284742500,47.9175990000,10974826,1233187532.7700
2018-03-23,46.5987660000,52.7093589000,46.5987660000,52.7093589000,10515588,1218572383.5600
2018-03-26,52.6653978000,52.6653978000,47.9219951100,50.3530439400,9700444,1114040610.6800
2018-03-27,51.8740980000,55.3865898900,50.6431872000,55.3865898900,7155142,863145196.6200
2018-03-28,55.3865898900,55.3865898900,55.3865898900,55.3865898900,0,0.0000
2018-03-29,55.3865898900,55.3865898900,55.3865898900,55.3865898900,0,0.0000
2018-03-30,55.3865898900,55.3865898900,55.3865898900,55.3865898900,0,0.0000
2018-04-02,55.3865898900,55.3865898900,55.3865898900,55.3865898900,0,0.0000
2018-04-03,55.3865898900,55.3865898900,55.3865898900,55.3865898900,0,0.0000
2018-04-04,60.9256884900,60.9256884900,58.5342046500,60.9256884900,4547668,628748529.4000
2018-04-09,65.0624280000,67.0186969500,62.5698336300,67.0186969500,3920124,590542681.2000
2018-04-10,73.4150370000,73.7227647000,62.4247620000,62.9127302100,10411153,1600854275.5600
2018-04-11,64.0557188100,65.4448895700,61.9851510000,65.1943113000,7573868,1101432447.5100
2018-04-12,65.9416500000,66.3812610000,61.1059290000,62.4247620000,7639322,1097367897.2000
2018-04-13,61.8356832600,63.3039840000,57.3692355000,57.9583142400,7700078,1050212678.9000
2018-04-16,57.1274494500,59.9189793000,57.1054689000,58.9078740000,5862846,779429854.5300
2018-04-17,58.0286520000,60.6619218900,55.3909860000,55.3909860000,7549518,1001612641.6200
2018-04-18,55.8305970000,58.0110675600,53.6457303300,57.1054689000,6852972,881053511.8800
2018-04-19,56.2702080000,62.8160157900,53.2852493100,54.0281919000,10804512,1434189202.9300
2018-04-20,52.7533200000,53.5402236900,48.6253727100,48.8188015500,9867724,1132516214.3600
2018-04-23,49.2584125500,50.5552650000,49.0342109400,49.9837707000,5578100,630618651.0900
2018-04-24,50.5552650000,54.9821477700,49.8958485000,54.9821477700,8661658,1050456615.7300
2018-04-25,57.1494300000,60.0332781600,52.7533200000,53.0170866000,12261665,1564601685.5600
2018-04-26,51.4256947800,54.0721530000,49.4166725100,49.7112118800,6955314,801991307.6800
2018-04-27,50.5552650000,52.3137090000,49.4562375000,49.4562375000,5503614,634011698.7500
2018-05-02,49.9046407200,52.7533200000,47.5219491000,52.7533200000,7211480,824280936.4000
2018-05-03,51.8740980000,55.5360576300,51.4388831100,53.5094509200,7912745,963617312.0100
2018-05-04,52.0631307300,52.9467488400,49.4738219400,50.0321279100,6218971,722146629.5400
2018-05-07,50.0277318000,55.0349010900,49.6892313300,55.0349010900,6424755,770658700.6900
2018-05-08,57.3560471700,57.7868659500,52.7621122200,53.1489699000,8502572,1052614139.6100
2018-05-09,51.4344870000,53.0434632600,50.3750244900,52.8676188600,5875522,686688836.0000
2018-05-10,52.3093128900,53.5446198000,51.2146815000,51.6630847200,4140605,491981908.6300
2018-05-11,50.9948760000,54.4678029000,50.5728494400,51.5312014200,5705524,681167262.4500
2018-05-14,49.6760430000,52.5335145000,48.8627626500,51.0476293200,4555068,525608082.5900
2018-05-15,51.0476293200,54.3359196000,50.5992261000,52.5774756000,6584736,789840519.5100
2018-05-16,51.4344870000,52.7753005500,50.6431872000,51.6455002800,4981385,583073871.1100
2018-05-17,50.5596611100,54.1644713100,50.1156540000,51.4784481000,5604155,665778262.1500
2018-05-18,50.9948760000,53.6325420000,50.7838627200,52.0763190600,5211458,619592561.7300
2018-05-21,52.8456383100,57.2857094100,52.8456383100,57.2857094100,9149976,1171563388.2600
2018-05-22,59.3299005600,59.3342966700,54.5381406600,54.8942255700,10000403,1273982225.4300
2018-05-23,53.7185520000,56.7743450400,53.2826391600,55.1407726800,7012016,877389783.8800
2018-05-24,54.0487890000,54.7621009200,52.6177620000,52.9259832000,5252128,637408688.6000
2018-05-25,52.8379200000,53.4895876800,50.4161820000,50.4514072800,4785314,560253484.3500
2018-05-28,50.6231305200,50.8168695600,47.8227207600,48.3246810000,3961712,441081391.4400
2018-05-29,48.9191076000,49.7028700800,48.3290841600,49.5355500000,3238476,360738843.0300
2018-05-30,48.4435663200,48.8750760000,44.5819950000,44.5819950000,4395107,466069364.4200
2018-05-31,44.6920740000,45.5727060000,44.1769042800,45.2865006000,3237094,330882436.9600
2018-06-01,44.6920740000,46.2243736800,42.3143676000,43.2390312000,4048920,405385097.4700
2018-06-04,43.8554736000,44.2341453600,42.5829603600,43.1465648400,2466335,243497432.8500
2018-06-05,43.2390312000,44.6920740000,43.1729838000,44.6392360800,3868559,385899335.8800
2018-06-06,44.2429516800,45.3525480000,43.8114420000,44.0227936800,2982550,299730607.6400
2018-06-07,44.2517580000,45.0443268000,42.3583992000,42.4772845200,3125117,306722154.2400
2018-06-08,42.4244466000,43.8818925600,42.2703360000,42.7987152000,2817102,274880724.4100
2018-06-11,42.9220036800,43.5032208000,41.9268895200,42.0942096000,2323616,224717382.3200
2018-06-12,41.8960674000,42.3495928800,39.5447799600,41.3456724000,3259274,302393485.6000
2018-06-13,41.5570240800,41.9973400800,39.7209063600,39.7385190000,2525171,234232146.2200
2018-06-14,39.8926296000,43.7145724800,39.6768747600,43.7145724800,4600209,447755743.9600
2018-06-15,43.8334578000,43.9743589200,40.0423370400,40.9273722000,4559530,435451825.1500
2018-06-19,39.5623926000,39.6240368400,36.8368365600,37.2155083200,3951982,342714475.3400
