date,open,high,low,close,volume,amount
2018-06-08,13.8704563200,16.6495852800,13.8704563200,16.6495852800,1672614,33034126.0000
2018-06-11,18.3120249600,18.3120249600,18.3120249600,18.3120249600,1932286,42143158.0000
2018-06-12,20.1423878400,20.1423878400,20.1423878400,20.1423878400,14492391,347672460.0000
2018-06-13,20.6125728000,22.1322777600,19.7813529600,21.5949235200,633217104,15809621653.0000
2018-06-14,20.5789881600,20.8728537600,19.4371104000,19.5546566400,347782112,8310515596.0000
2018-06-15,18.9753216000,19.4203180800,18.4883443200,18.9585292800,213870016,4811430352.0000
2018-06-19,18.3288172800,18.3372134400,17.0609971200,17.0609971200,209967713,4356754053.0000
2018-06-20,16.6243968000,17.0106201600,15.9611001600,16.6747737600,198271914,3891767821.0000
2018-06-21,16.4564736000,16.6076044800,15.1550688000,15.2558227200,197849535,3736018335.0000
2018-06-22,14.8612032000,16.1038348800,14.7184684800,15.7176115200,175575007,3268487581.0000
2018-06-25,15.6336499200,15.7511961600,15.2222380800,15.2894073600,115443049,2124064369.0000
2018-06-26,14.8947878400,15.6672345600,14.7352608000,15.5580844800,113725844,2080931355.0000
2018-06-27,15.5328960000,15.8351577600,15.2642188800,15.3397843200,97039103,1792739749.0000
2018-06-28,15.2978035200,15.6504422400,14.9115801600,15.0207302400,86399084,1575076746.0000
2018-06-29,15.0711072000,15.6252537600,14.7772416000,15.4825190400,127800363,2332307631.0000
2018-07-02,15.2810112000,15.4069536000,14.3574336000,14.7688454400,121806604,2178274835.0000
2018-07-03,14.7268646400,15.0878995200,14.3574336000,15.0291264000,89742495,1580629714.0000
2018-07-04,14.8612032000,15.0039379200,14.3742259200,14.4162067200,80724110,1406844068.0000
2018-07-05,14.2734720000,14.6932800000,14.0299833600,14.2398873600,91199252,1556919113.0000
2018-07-06,14.1979065600,14.8444108800,14.1055488000,14.4665836800,105690560,1823931937.0000
2018-07-09,14.4665836800,14.6932800000,14.3490374400,14.6680915200,80084021,1388137556.0000
2018-07-10,14.7016761600,14.7268646400,14.4413952000,14.5673376000,65616875,1137038433.0000
2018-07-11,14.2314912000,14.3574336000,13.8872486400,13.9796064000,79234984,1326556526.0000
2018-07-12,13.9796064000,15.3481804800,13.9796064000,15.0795033600,179476511,3159557644.0000
2018-07-13,14.8612032000,14.9367686400,14.6764876800,14.7940339200,99440876,1752297229.0000
2018-07-16,14.7940339200,15.2726150400,14.7436569600,14.9787494400,91002211,1629162611.0000
2018-07-17,14.9787494400,14.9871456000,14.6429030400,14.8528070400,61176816,1077433084.0000
2018-07-18,14.8528070400,14.9115801600,14.4246028800,14.4497913600,62140093,1086314080.0000
2018-07-19,14.4246028800,14.5925260800,14.1643219200,14.2146988800,52695296,897483160.0000
2018-07-20,14.1979065600,14.6764876800,14.0467756800,14.5253568000,71270453,1224951713.0000
2018-07-23,14.3658297600,14.5253568000,14.3070566400,14.4833760000,48368564,830800479.0000
2018-07-24,14.4665836800,15.1970496000,14.4413952000,15.1634649600,125054476,2216366249.0000
2018-07-25,15.1130880000,15.1214841600,14.7688454400,14.8695993600,85980738,1530209680.0000
2018-07-26,14.8276185600,15.1550688000,14.8024300800,14.9115801600,66539746,1185426892.0000
2018-07-27,14.8444108800,14.8444108800,14.5085644800,14.5169606400,54516175,950530431.0000
2018-07-30,14.4413952000,14.5925260800,14.3154528000,14.3910182400,36771092,631237641.0000
2018-07-31,14.4329990400,14.5001683200,14.3154528000,14.4162067200,29162201,500048026.0000
2018-08-01,14.4833760000,14.6177145600,14.2398873600,14.2566796800,45200663,776123681.0000
2018-08-02,14.1895104000,14.2146988800,13.4506483200,13.6353638400,68910577,1133184225.0000
2018-08-03,13.6605523200,13.7193254400,13.2659328000,13.2743289600,51818003,828764283.0000
2018-08-06,13.2407443200,13.3079136000,12.6865977600,12.7117862400,49149378,757691964.0000
2018-08-07,12.7621632000,13.0728211200,12.6278246400,13.0560288000,45278678,696241558.0000
2018-08-08,12.9384825600,12.9888595200,12.5942400000,12.6026361600,46605307,709284547.0000
2018-08-09,12.5858438400,13.0812172800,12.4263168000,12.9468787200,61822492,950425491.0000
2018-08-10,12.8629171200,13.0392364800,12.8545209600,12.9888595200,36117070,557064563.0000
2018-08-13,12.7537670400,13.2911212800,12.6614092800,13.1987635200,52992504,822665060.0000
2018-08-14,13.2071596800,13.2323481600,12.9636710400,13.0224441600,44634477,693689985.0000
2018-08-15,12.9216902400,13.0056518400,12.6278246400,12.6446169600,40808623,620369300.0000
2018-08-16,12.4682976000,12.7201824000,12.3507513600,12.5018822400,34594813,516841869.0000
2018-08-17,12.6698054400,12.7117862400,12.2751859200,12.2835820800,32110673,477788531.0000
2018-08-20,12.3003744000,12.5354668800,12.1996204800,12.5270707200,35590839,524770429.0000
2018-08-21,12.5102784000,12.7117862400,12.4347129600,12.6110323200,35059990,525981562.0000
2018-08-22,12.5858438400,12.5858438400,12.3423552000,12.3759398400,27760231,412042703.0000
2018-08-23,12.4011283200,12.7621632000,12.4011283200,12.7033900800,48348554,726749790.0000
2018-08-24,12.6278246400,12.6949939200,12.5270707200,12.5858438400,25449258,382018752.0000
2018-08-27,12.5942400000,12.9468787200,12.5942400000,12.8545209600,54095468,825814174.0000
2018-08-28,12.8545209600,12.9972556800,12.7789555200,12.8629171200,31555827,483808953.0000
2018-08-29,12.8881056000,12.9048979200,12.6530131200,12.6865977600,29797605,451580494.0000
2018-08-30,12.7033900800,12.7285785600,12.4095244800,12.4263168000,29261454,436880583.0000
2018-08-31,12.3843360000,12.5690515200,12.3171667200,12.4179206400,20320097,301160931.0000
2018-09-03,12.3507513600,12.4011283200,12.1828281600,12.3423552000,22555766,329832748.0000
2018-09-04,12.3339590400,12.5858438400,12.3087705600,12.5354668800,24088328,357937501.0000
2018-09-05,12.4766937600,12.5018822400,12.2667897600,12.2835820800,23697402,349522515.0000
2018-09-06,12.2667897600,12.9300864000,12.2332051200,12.6194284800,62592378,945223171.0000
2018-09-07,12.5942400000,12.7537670400,12.3591475200,12.5018822400,36279607,543003698.0000
2018-09-10,12.4263168000,12.4599014400,12.2835820800,12.2835820800,22616185,332303940.0000
2018-09-11,12.2835820800,12.4934860800,12.2416012800,12.3339590400,20442007,300589866.0000
2018-09-12,12.3255628800,12.4934860800,12.3087705600,12.3591475200,18113180,267306826.0000
2018-09-13,12.4850899200,12.5438630400,12.2080166400,12.4179206400,26594098,391537508.0000
2018-09-14,12.4179206400,12.4347129600,12.2416012800,12.2583936000,23302806,341644007.0000
2018-09-17,12.2248089600,12.2248089600,11.8889625600,11.8973587200,26101621,373286516.0000
2018-09-18,11.8050009600,12.0400934400,11.7966048000,12.0149049600,24762561,352231145.0000
2018-09-19,11.9561318400,12.2080166400,11.9309433600,12.1072627200,32314495,463842856.0000
2018-09-20,12.0652819200,12.1072627200,11.9729241600,11.9813203200,21385303,306273789.0000
2018-09-21,12.0065088000,12.1576396800,11.9393395200,12.1324512000,33351796,479670903.0000
2018-09-25,12.0484896000,12.1996204800,11.9981126400,12.1156588800,23166857,332988748.0000
2018-09-26,12.2583936000,12.4179206400,12.1156588800,12.2164128000,37276829,543684911.0000
2018-09-27,12.1660358400,12.1912243200,11.9141510400,11.9225472000,34109778,488678422.0000
2018-09-28,11.9309433600,11.9981126400,11.9141510400,11.9561318400,18008984,256481682.0000
2018-10-08,11.7546240000,11.7546240000,11.5111353600,11.5195315200,28559936,394775385.0000
2018-10-09,11.5531161600,11.6370777600,11.4691545600,11.5279276800,17203325,236509972.0000
2018-10-10,11.5783046400,11.5950969600,11.4691545600,11.5111353600,13523384,185669575.0000
2018-10-11,10.9234041600,11.0577427200,10.3608614400,10.3608614400,56064220,709169250.0000
2018-10-12,10.1341651200,10.2181267200,9.6136032000,10.0418073600,45508275,537993954.0000
2018-10-15,10.0753920000,10.3272768000,9.9578457600,9.9830342400,26187113,316493994.0000
2018-10-16,9.9914304000,10.0921843200,9.6555840000,9.7143571200,23514249,275682963.0000
2018-10-17,9.8822803200,9.9578457600,9.6723763200,9.8738841600,23482257,275033719.0000
2018-10-18,9.7647340800,9.7731302400,9.5212454400,9.5548300800,22758551,261844967.0000
2018-10-19,9.3785107200,9.7563379200,9.3281337600,9.7479417600,32965865,376551388.0000
2018-10-22,9.8235072000,10.7135001600,9.7563379200,10.6211424000,71229565,875304288.0000
2018-10-23,10.5371808000,10.5791616000,10.1845420800,10.2349190400,43208073,532761074.0000
2018-10-24,10.2265228800,10.3776537600,10.1845420800,10.2349190400,22978972,281169322.0000
2018-10-25,9.8654880000,10.1509574400,9.7479417600,10.0753920000,25422705,300391673.0000
2018-10-26,10.1593536000,10.3440691200,10.0753920000,10.1509574400,24078701,292714173.0000
2018-10-29,10.1845420800,10.3692576000,9.9998265600,10.1341651200,21571745,261059505.0000
2018-10-30,10.0753920000,10.2601075200,9.8654880000,10.1593536000,24817475,298502530.0000
2018-10-31,10.2852960000,10.3776537600,10.1509574400,10.2852960000,30783988,377349455.0000
2018-11-01,10.4784076800,10.6211424000,10.3524652800,10.3692576000,41294948,514567137.0000
2018-11-02,10.6211424000,10.6967078400,10.3860499200,10.5875577600,49601038,622333723.0000
2018-11-05,10.5959539200,10.7051040000,10.4616153600,10.5791616000,35546773,448469660.0000
2018-11-06,10.4952000000,10.7890656000,10.3356729600,10.7386886400,39011940,489123641.0000
2018-11-07,10.6799155200,10.7806694400,10.4616153600,10.5203884800,31397467,397624832.0000
2018-11-08,10.6379347200,10.6379347200,10.4028422400,10.4028422400,18383570,230244508.0000
2018-11-09,10.3692576000,10.4784076800,10.3440691200,10.3608614400,13961168,173000900.0000
2018-11-12,10.3524652800,10.5791616000,10.3356729600,10.5707654400,22176360,277314193.0000
2018-11-13,10.3860499200,10.7135001600,10.3692576000,10.6379347200,34103393,428804979.0000
2018-11-14,10.6379347200,10.7302924800,10.5539731200,10.5623692800,25854575,327099077.0000
2018-11-15,10.5455769600,10.8562348800,10.5371808000,10.8226502400,42473501,544430265.0000
2018-11-16,10.8394425600,10.8814233600,10.7218963200,10.7974617600,35226540,453220706.0000
2018-11-19,10.8226502400,10.9653849600,10.7386886400,10.9318003200,33478260,434242439.0000
2018-11-20,10.8310464000,10.8562348800,10.5707654400,10.5959539200,30572833,390753041.0000
2018-11-21,10.4784076800,10.5707654400,10.4112384000,10.5119923200,19255414,240783383.0000
2018-11-22,10.5119923200,10.5539731200,10.4196345600,10.4364268800,17918921,223515011.0000
2018-11-23,10.4616153600,10.4700115200,9.8906764800,9.9158649600,33461384,402864025.0000
2018-11-26,9.9158649600,9.9998265600,9.8235072000,9.8486956800,13373511,157630269.0000
2018-11-27,9.8990726400,9.9578457600,9.7563379200,9.7899225600,15579709,183035036.0000
2018-11-28,9.7899225600,9.8990726400,9.7059609600,9.8990726400,15817102,185222881.0000
2018-11-29,9.9578457600,9.9830342400,9.6136032000,9.6219993600,24771458,289036987.0000
