date,open,high,low,close,volume,amount
2014-10-09,3.8291418000,4.5956734000,3.8291418000,4.5956734000,33300,868936.0000
2014-10-10,5.0545375000,5.0545375000,5.0545375000,5.0545375000,10900,313375.0000
2014-10-13,5.5608703000,5.5608703000,5.5608703000,5.5608703000,14900,471287.0000
2014-10-14,6.1164299000,6.1164299000,6.1164299000,6.1164299000,19000,661010.0000
2014-10-15,6.7282487000,6.7282487000,6.7282487000,6.7282487000,48160,1843083.0000
2014-10-16,7.4016010000,7.4016010000,7.4016010000,7.4016010000,134015,5642031.0000
2014-10-17,8.1417611000,8.1417611000,8.1417611000,8.1417611000,2823841,130772076.0000
2014-10-20,8.1716488000,8.1734069000,7.8903528000,7.9026595000,10604687,483739408.0000
2014-10-21,7.9993550000,8.6656749000,7.9993550000,8.3615236000,7599073,360933600.0000
2014-10-22,8.2806510000,8.6814978000,8.2806510000,8.5004135000,5274941,253747252.0000
2014-10-23,8.4212990000,8.7694028000,8.3738303000,8.5179945000,4290912,209313477.0000
2014-10-24,8.5092040000,8.7905000000,8.4740420000,8.5900766000,3943734,193893097.0000
2014-10-27,8.5742537000,8.7588542000,8.0995667000,8.2648281000,3893050,185258257.0000
2014-10-28,8.5267850000,9.0911351000,8.4758001000,8.8344525000,4887327,246637055.0000
2014-10-29,8.8344525000,9.2915585000,8.7922581000,9.2300250000,5458563,280260768.0000
2014-10-30,9.1421200000,9.3161719000,9.0559731000,9.1421200000,3493692,181930912.0000
2014-10-31,9.2616708000,9.7152606000,9.0893770000,9.5834031000,4455396,238199965.0000
2014-11-03,9.4726428000,10.2321420000,9.4251741000,10.0580901000,5203151,291380560.0000
2014-11-04,10.0211700000,10.2303839000,9.6554852000,9.7135025000,4435027,249647696.0000
2014-11-05,9.6379042000,10.0176538000,9.5834031000,9.7082282000,2797729,156090597.0000
2014-11-06,9.6871310000,10.2848850000,9.6695500000,10.2110448000,3884761,221016200.0000
2014-11-07,10.1776409000,10.6347469000,10.1231398000,10.4079520000,4556415,269077280.0000
2014-11-10,10.7595720000,11.4487472000,10.7560558000,11.4487472000,5498378,354057856.0000
