date,open,high,low,close,volume,amount
2023-04-04,40.1228298200,46.8812738300,37.4354960000,41.8809611500,12341281,779923138.1900
2023-04-06,40.1027750900,60.8326810000,38.2577399300,55.4847530000,12537960,872891821.0400
2023-04-07,51.9885450700,53.1182948600,48.0578179900,48.6059806100,9415987,705786128.7900
2023-04-10,48.3318993000,48.4522276800,42.8569580100,44.0736116300,7577587,514678033.6800
2023-04-11,42.7834240000,46.7208359900,42.2620010200,45.2301010600,6251417,422670669.0400
2023-04-12,43.9867078000,46.4333848600,43.1243544100,43.4987093700,4449228,296847970.7600
2023-04-13,43.3182168000,44.2541042000,40.8982793800,40.9784983000,4718771,298750262.1900
2023-04-14,41.3795929000,44.3209533000,39.5145030100,43.9532832500,5402210,342574085.3100
2023-04-17,43.8864341500,47.1085607700,43.5521886500,43.8062152300,5442073,368918180.3400
2023-04-18,43.4251753600,45.3771690800,42.5227125100,44.0401870800,2926271,191859350.8000
2023-04-19,43.4519150000,45.7916335000,43.4519150000,44.1872551000,3426714,228455439.4200
2023-04-20,44.8223215500,46.3732206700,42.7032050800,46.3598508500,5026611,334954713.9400
2023-04-21,46.1927281000,51.4002729900,46.1258790000,47.8639556000,6164612,447962025.9800
2023-04-24,48.7998430000,50.6047687000,46.8344794600,49.1942526900,3809340,276097541.6500
2023-04-25,48.1313520000,52.4765435000,47.7302574000,48.6126655200,4253137,318397442.1400
2023-04-26,46.2060979200,46.7876850900,39.1067235000,40.1094600000,4512489,281253533.0500
2023-04-27,40.1094600000,42.8369032800,39.4476539100,41.0186077600,2533772,157076878.1300
2023-04-28,41.4464420000,43.2513677000,41.0787719500,42.0347140800,1916998,120674090.7500
2023-05-04,42.2620010200,42.4424935900,37.8767000600,38.1641511900,2742353,161288095.4100
2023-05-05,37.6494131200,38.6320948900,35.8712270600,35.9180214300,2068928,113760755.6700
2023-05-08,36.8137993700,37.8098509600,35.7642685000,36.1987876500,1410237,77093855.0000
2023-05-09,36.8071144600,37.2483185200,34.1999995600,34.7615320000,2042011,107343058.4500
2023-05-10,34.6278338000,35.2963248000,33.4847141900,33.7788502300,1535067,78214752.0800
2023-05-11,33.9459729800,34.4005468600,33.5315085600,34.2935883000,974577,49656211.4700
2023-05-12,34.3270128500,35.2829549800,33.2106328800,33.4245500000,1330393,68179063.3700
2023-05-15,33.4245500000,34.4139166800,32.8496477400,34.2601637500,1262377,64207698.6600
2023-05-16,34.5275601500,35.2161058800,33.1103592300,34.7615320000,1643063,84586951.5700
2023-05-17,34.1064108200,35.7843232300,34.1064108200,35.4300230000,1279091,66941466.2300
2023-05-18,35.4166531800,36.6132520700,34.8283811000,36.2322122000,1570943,84268015.2900
2023-05-19,37.1346750500,39.3406953500,36.7670050000,38.3245890300,2816339,161097933.0400
