date,open,high,low,close,volume,amount
2011-01-13,19.3440900000,19.9115166400,17.9255234000,18.0028997600,14671353,421508730.0200
2011-01-14,17.6224659900,18.8991759300,17.5902258400,18.1898926300,7242492,205663276.5000
2011-01-17,18.4413658000,19.7309718000,18.1834446000,19.0152404700,8902568,262726002.8100
2011-01-18,18.0867241500,19.0216885000,17.4096810000,18.7057350300,4634562,131894046.3100
2011-01-19,18.4220217100,19.1570971300,18.4091256500,18.9572082000,4100052,119094903.8500
2011-01-20,18.6863909400,18.6992870000,17.2033440400,17.2033440400,4996644,139256227.1200
2011-01-21,16.8873905700,17.2742723700,16.5778851300,16.7326378500,3366740,88182857.1100
2011-01-24,16.9067346600,16.9131826900,16.0620427300,16.1007309100,2207747,56020703.9000
2011-01-25,16.0684907600,16.1200750000,15.4752720000,15.8234656200,2259836,55201764.9300
2011-01-26,15.8750498600,17.1839999500,15.8750498600,16.9131826900,3180319,81861215.7900
2011-01-27,16.7003977000,17.2807204000,16.5327489200,16.9583189000,2322655,61135367.8700
2011-01-28,16.8680464800,17.1517598000,16.6036772500,17.1517598000,1250671,32795276.4900
2011-01-31,17.0808314700,17.4870573600,16.7777740600,17.4870573600,1696979,45056583.7500
2011-02-01,17.4032329700,17.4870573600,17.1195196500,17.1775519200,1152696,30917828.1200
2011-02-09,16.9647669300,17.0679354100,16.4424765000,16.4424765000,1312789,34189058.7000
2011-02-10,16.5069568000,18.0867241500,16.5069568000,18.0867241500,1662002,45489310.0500
2011-02-11,18.6928389700,19.7954521000,18.6670468500,19.4730506000,5954838,178282237.9600
2011-02-14,19.2280254600,20.3112945000,19.0926168300,19.5375309000,4857911,148540645.2000
2011-02-15,19.3118498500,20.2145740500,19.2344734900,19.5762190800,2680765,81593751.4200
2011-02-16,19.5375309000,21.4654918700,19.3634340900,21.1817785500,3887664,124602927.1700
2011-02-17,20.8980652300,21.2204667300,20.4789432800,20.8916172000,2873707,92483777.4400
2011-02-18,20.8722731100,21.9104059400,20.4982873700,21.4719399000,3102992,102813188.1100
2011-02-21,21.1817785500,21.8588217000,20.8916172000,21.4912839900,2050762,67783912.9200
2011-02-22,21.3429793000,21.4848359600,19.8212442200,19.8663804300,2860325,90472856.0200
2011-02-23,19.9179646700,20.3048464700,19.7954521000,20.0598213300,1444099,44941050.9300
2011-02-24,20.1629898100,20.1629898100,19.3956742400,19.7116277100,1454141,44495380.9000
2011-02-25,19.7696599800,20.0533733000,19.3440900000,19.9179646700,1165680,35681342.5300
2011-02-28,19.9888930000,20.9303053800,19.8019001300,20.6723841800,1375474,43918615.7500
2011-03-01,20.6336960000,20.9367534100,20.2468142000,20.3112945000,1109845,35268917.9900
2011-03-02,20.2145740500,20.2339181400,19.6664915000,20.0082370900,985886,30367232.1600
2011-03-03,19.9888930000,20.1823339000,19.4085703000,19.6342513500,782430,23997152.4000
2011-03-04,19.6664915000,20.5498716100,19.6664915000,20.3951188900,856213,26658089.6500
2011-03-07,20.4273590400,20.8271369000,20.0662693600,20.4789432800,1336086,42236611.5300
2011-03-08,20.2339181400,20.8916172000,20.2339181400,20.6272479700,860366,27494822.0900
2011-03-09,20.7948967500,20.7948967500,20.3370866200,20.5434235800,802986,25560446.4900
2011-03-10,20.4402551000,20.4402551000,19.8276922500,19.8276922500,1213348,37846357.3600
2011-03-11,19.6729395300,20.4467031300,19.6729395300,19.9244127000,820583,25545770.8000
2011-03-14,20.3112945000,20.8206888700,20.1243016300,20.6014558500,1406564,44660004.8100
2011-03-15,20.6207999400,21.0076817400,19.7309718000,20.9238573500,1778706,56397031.9000
2011-03-16,20.9560975000,22.3811121300,20.8271369000,22.0264704800,2070567,69813215.8900
2011-03-17,21.7298611000,22.2457035000,21.6009005000,21.8459256400,1462220,49681190.6700
2011-03-18,22.0522626000,23.0839474000,22.0522626000,22.2457035000,1110045,38762456.6700
2011-03-21,21.9619901800,22.3101838000,21.6009005000,21.6718288300,952716,32299050.2800
2011-03-22,21.6009005000,21.7943414000,21.1366423400,21.5686603500,910754,30199695.3700
2011-03-23,21.5493162600,22.1425350200,21.3107391500,22.0845027500,937594,31778363.7600
2011-03-24,21.6331406500,21.8330295800,21.2204667300,21.4396997500,1732729,57784592.9300
2011-03-25,21.2784990000,21.7363091300,21.2784990000,21.6137965600,665017,22164840.2500
2011-03-28,21.7363091300,21.7363091300,21.1753305200,21.2849470300,997521,33054552.5200
2011-03-29,21.2784990000,21.3042911200,20.3822228300,20.4918393400,1063777,34096921.3700
2011-03-30,20.6981763000,20.9238573500,20.3112945000,20.5692157000,647070,20736478.6400
2011-03-31,20.3112945000,20.8787211400,20.0533733000,20.0533733000,579200,18302986.4300
2011-04-01,20.0533733000,20.6401440300,20.0533733000,20.5692157000,834682,26409526.3200
