date,open,high,low,close,volume,amount
2020-08-28,45.9659200000,49.3603264000,41.6663385600,41.6734102400,19101030,1194658275.2200
2020-08-31,42.2886464000,42.3593632000,36.9283129600,38.8588816000,10973437,601375484.0000
2020-09-01,38.6820896000,44.1980000000,38.6820896000,42.8685241600,10360124,613981352.0000
2020-09-02,41.7936288000,48.7097318400,41.7653420800,47.3095392000,10822205,687342069.0000
2020-09-03,48.7945920000,56.9977408000,48.1581408000,55.0459571200,8799798,645447660.5500
2020-09-04,53.0517433600,56.5734400000,50.8453792000,56.1491392000,4404086,335212486.3300
2020-09-07,56.5663683200,61.3821824000,53.0800300800,55.1591040000,5518931,442077110.0000
2020-09-08,53.1083168000,56.2198560000,49.5017600000,54.5862979200,3691942,273168715.0000
2020-09-09,53.0234566400,53.1931769600,50.2584297600,50.9160960000,1898848,139440409.0000
2020-09-10,51.6232640000,54.2185705600,49.5724768000,50.8383075200,1766340,129895470.0000
2020-09-11,49.6573369600,53.6033344000,48.7097318400,52.2667868800,1566550,114804926.0000
2020-09-14,52.6910876800,55.7106950400,51.9414896000,52.8466646400,1888945,143911469.6400
2020-09-15,52.7547328000,61.0710284800,52.3162886400,60.8942364800,2818076,227053605.0000
2020-09-16,59.2111766400,59.8971296000,56.2198560000,57.3583964800,2598370,210753175.0000
2020-09-17,57.1179593600,58.7090873600,55.3924694400,55.4136844800,1744156,140574533.0000
2020-09-18,55.0318137600,56.4178630400,53.0376000000,55.4419712000,1602349,123518444.0000
2020-09-21,54.7348032000,59.3101801600,54.1549254400,56.0713507200,2088270,168907139.7700
2020-09-22,55.0105987200,55.3500393600,52.1536400000,54.2185705600,1949894,147888587.4100
2020-09-23,53.8154848000,56.0572073600,53.2426787200,53.6033344000,961077,73572755.0000
2020-09-24,53.6033344000,55.5056163200,52.6840160000,52.6840160000,1134258,86755100.0000
2020-09-25,52.7688761600,53.3628972800,49.5371184000,49.6431936000,1307402,93892001.6900
2020-09-28,49.5088316800,50.4847235200,48.1298540800,49.4027564800,866559,60105967.0000
2020-09-29,49.7775555200,52.8678796800,49.0421008000,51.4252569600,765260,55205521.9700
2020-09-30,51.3333251200,52.8961664000,50.2867164800,52.5779408000,595985,43892300.0000
2020-10-09,53.8154848000,53.8154848000,51.7151958400,53.2073203200,909360,67820135.5400
2020-10-12,53.7447680000,56.9270240000,53.1790336000,55.8309136000,1166665,91864128.0000
2020-10-13,55.3146809600,59.7486243200,54.8267350400,59.3879686400,1003674,81252116.0000
2020-10-14,58.4191484800,59.2465350400,56.9623824000,57.9807043200,973820,79857614.2900
2020-10-15,58.1362812800,62.6762998400,57.4432566400,60.4628640000,1483473,127133539.5000
2020-10-16,60.4133622400,62.3297875200,57.9877760000,58.8222342400,1207425,102725624.0200
2020-10-19,57.4786150400,58.6949440000,55.4985446400,56.4178630400,828175,66108264.0000
2020-10-20,56.1349958400,57.5988336000,55.3924694400,56.3966480000,639081,51111673.0000
2020-10-21,56.4107913600,57.2593929600,55.0176704000,55.0318137600,658740,52244449.0000
2020-10-22,55.1732473600,56.2339993600,54.3175740800,55.4419712000,413395,32361028.0900
2020-10-23,56.2622860800,57.1250310400,53.1012451200,53.3204672000,799830,62069128.1700
2020-10-26,53.3911840000,55.8521286400,52.3375036800,55.7036233600,551403,42575201.0000
2020-10-27,55.5834048000,56.0359923200,54.5580112000,55.1591040000,359167,28037312.0200
2020-10-28,55.1591040000,57.6341920000,54.6357996800,55.8662720000,1099755,87641250.5600
2020-10-29,55.4278278400,57.9170592000,53.9639900800,57.1603894400,1027328,81691022.0000
2020-10-30,56.9694540800,59.2253200000,56.3259312000,57.2735363200,1007630,82698979.0000
2020-11-02,57.6695504000,65.0523843200,56.9765257600,63.6875500800,1999429,174128224.1700
2020-11-03,63.7865536000,67.6052608000,62.8035900800,65.5898320000,1771860,164033852.4500
2020-11-04,65.5544736000,68.3124288000,64.4583632000,67.2516768000,1467424,138363505.5700
2020-11-05,68.9700950400,68.9700950400,65.7878390400,67.2446051200,919397,86924540.5200
2020-11-06,67.1809600000,70.5753664000,66.8273760000,68.8286614400,988660,95498258.0600
