date,open,high,low,close,volume,amount
2012-06-13,3.7682120000,3.8576272000,3.7075374000,3.8448536000,10731633,126744531.5200
2012-06-14,3.7745988000,3.9055282000,3.7682120000,3.8767876000,7509492,90049105.8200
2012-06-15,3.8704008000,3.8735942000,3.7682120000,3.8001460000,3615127,43196663.3500
2012-06-18,3.8001460000,3.8193064000,3.7809856000,3.7969526000,2441656,29059131.3800
2012-06-19,3.7841790000,3.7873724000,3.7107308000,3.7203110000,3202222,37514030.8300
2012-06-20,3.7266978000,3.8927546000,3.7203110000,3.8288866000,5034135,60142678.4800
2012-06-21,3.8065328000,3.8224998000,3.7298912000,3.7873724000,2576046,30431280.3000
2012-06-25,3.7522450000,3.7809856000,3.6915704000,3.6979572000,2327381,27179269.9200
2012-06-26,3.6692166000,3.6787968000,3.5510608000,3.6404760000,2348314,26560142.7400
2012-06-27,3.6404760000,3.8256932000,3.6149288000,3.7139242000,3960026,46560050.7100
2012-06-28,3.7043440000,3.7490516000,3.6021552000,3.6085420000,2046424,23502524.9900
2012-06-29,3.6085420000,3.6851836000,3.5670278000,3.6724100000,1630937,18591589.4400
2012-07-02,3.6915704000,3.7330846000,3.6564430000,3.6883770000,2719423,31375993.1500
2012-07-03,3.6756034000,4.0588114000,3.6660232000,4.0588114000,12217071,150756837.0700
2012-07-04,4.1961276000,4.3174768000,4.0875520000,4.1737738000,18787492,246764128.6900
2012-07-05,4.0875520000,4.1130992000,3.9470424000,4.0460378000,10450045,131559032.7500
2012-07-06,4.0364576000,4.0396510000,3.7682120000,3.9246886000,10298225,125559789.0000
2012-07-09,3.8544338000,3.9470424000,3.7554384000,3.8001460000,5687782,68841969.6100
2012-07-10,3.8320800000,3.8895612000,3.7554384000,3.8416602000,4775314,57286146.5000
2012-07-11,3.7905658000,3.8256932000,3.4584522000,3.4584522000,9743111,106931270.2800
2012-07-12,3.3850040000,3.4456786000,3.2636548000,3.4137446000,5767268,60760119.6800
2012-07-13,3.3498766000,3.3786172000,3.2285274000,3.2317208000,4402882,45597660.1900
2012-07-16,3.2413010000,3.2668482000,3.0656640000,3.0784376000,2798903,27821246.4500
2012-07-17,3.0784376000,3.1231452000,3.0592772000,3.1135650000,1591605,15411680.4300
2012-07-18,3.1039848000,3.1039848000,2.9922158000,3.0912112000,2011512,19170310.2300
2012-07-19,3.0944046000,3.1774330000,3.0784376000,3.1071782000,2820974,27705025.7800
2012-07-20,3.0944046000,3.1486924000,3.0465036000,3.0656640000,1700991,16513409.9100
2012-07-23,3.0496970000,3.0496970000,2.9698620000,3.0017960000,1770754,16644687.4500
2012-07-24,2.9666686000,3.0592772000,2.9634752000,3.0496970000,1322971,12529440.6700
2012-07-25,3.0241498000,3.2157538000,3.0209564000,3.1039848000,3950808,38772279.1200
2012-07-26,3.0784376000,3.1167584000,3.0209564000,3.0209564000,2275834,21861855.7000
2012-07-27,3.0465036000,3.0528904000,3.0049894000,3.0305366000,1165858,11058115.4400
2012-07-30,3.0369234000,3.0560838000,2.8996072000,2.9059940000,1495225,13839711.2800
2012-07-31,2.9091874000,2.9219610000,2.8101920000,2.8133854000,1334449,11865199.2600
2012-08-01,2.8229656000,2.8772534000,2.8101920000,2.8612864000,1192730,10650234.7200
2012-08-02,2.8612864000,2.8804468000,2.7846448000,2.7974184000,1205718,10678504.8800
2012-08-03,2.8101920000,2.9315412000,2.7910316000,2.9091874000,2147978,19290318.9200
2012-08-06,2.8772534000,2.9858290000,2.8612864000,2.9698620000,2088838,19090980.6800
2012-08-07,2.9538950000,3.0049894000,2.9507016000,2.9730554000,1537141,14299284.1100
2012-08-08,2.9794422000,2.9794422000,2.8932204000,2.9283478000,1291726,11870667.6000
2012-08-09,2.9155742000,3.0145696000,2.8996072000,3.0017960000,1987754,18482573.8700
2012-08-10,2.9858290000,3.0145696000,2.9507016000,2.9698620000,1562221,14577131.4900
2012-08-13,2.9411214000,2.9890224000,2.8900270000,2.8932204000,1267344,11662169.0800
2012-08-14,2.9059940000,2.9283478000,2.8357392000,2.9187676000,1317313,11879152.3100
2012-08-15,2.9123808000,2.9155742000,2.8421260000,2.8421260000,954545,8582778.6600
2012-08-16,2.8261590000,2.8644798000,2.8261590000,2.8421260000,725963,6468353.9400
2012-08-17,2.8548996000,2.8836402000,2.8197722000,2.8676732000,778680,6955592.3700
2012-08-20,2.8453194000,2.9155742000,2.8389326000,2.8964138000,834547,7517640.5500
2012-08-21,2.9538950000,3.1870132000,2.9538950000,3.1870132000,3825419,37336467.7200
2012-08-22,3.5063532000,3.5063532000,3.3754238000,3.5063532000,14892502,162745507.3600
2012-08-23,3.5734146000,3.8193064000,3.4488720000,3.6181222000,17467098,195785997.7200
2012-08-24,3.5287070000,3.6468628000,3.3371030000,3.3754238000,10106348,110568327.8200
2012-08-27,3.2923954000,3.4329050000,3.2349142000,3.3179426000,5710597,59498587.7700
2012-08-28,3.3083624000,3.4712258000,3.2732350000,3.4329050000,7005353,74454229.2800
2012-08-29,3.3850040000,3.7043440000,3.3434898000,3.5127400000,10788797,120189646.3200
2012-08-30,3.3850040000,3.4424852000,3.1614660000,3.1997868000,8726885,89948882.8700
2012-08-31,3.1391122000,3.2828152000,3.1391122000,3.2413010000,3498907,35345403.6700
2012-09-03,3.2157538000,3.3530700000,3.1902066000,3.3083624000,3999194,41244635.4600
2012-09-04,3.3083624000,3.5446740000,3.2764284000,3.3530700000,7314154,78043016.1700
2012-09-05,3.2892020000,3.5095466000,3.2732350000,3.4201314000,5663452,60495633.2000
2012-09-06,3.4009710000,3.7618252000,3.3786172000,3.7618252000,9382527,106251007.7800
