date,open,high,low,close,volume,amount
2020-02-18,106.3690050000,113.8597800000,100.8258315000,101.8775363100,9677517,3376591821.0000
2020-02-19,104.5712190000,109.3653150000,97.0804440000,98.1890787000,6041367,2096323244.0000
2020-02-20,96.1396026600,99.7771230000,90.2488572000,92.1065694000,3560936,1116797384.0000
2020-02-21,98.5366506600,100.3733886900,92.4361635000,96.4212558000,3841990,1229497714.0000
2020-02-24,93.7845030000,94.6863923100,88.7686800600,93.6047244000,2695873,827508866.0000
2020-02-25,90.6413738100,101.9045031000,90.2488572000,98.2789680000,3106211,1011461624.0000
2020-02-26,97.3800750000,98.7883407000,86.2937280000,87.3424365000,2840182,864865146.0000
2020-02-27,86.5963553100,88.2293442600,79.4022150000,80.2951153800,2148825,589842752.0000
2020-02-28,74.6081190000,80.4509235000,74.0118533100,76.1062740000,1727647,443505654.0000
2020-03-02,78.8029530000,79.7258164800,74.9766651300,76.8553515000,1662818,428709066.0000
2020-03-03,78.4733589000,81.7603109700,77.0111596200,77.5175360100,2044597,540123241.0000
2020-03-04,76.4059050000,76.9452408000,72.1661263500,73.8860082900,1510133,375386474.0000
2020-03-05,75.2283551700,80.4808866000,72.5166946200,78.4433958000,1802058,461572518.0000
2020-03-06,76.7055360000,77.5684732800,74.9107463100,75.5160009300,1072697,272422255.0000
2020-03-09,72.8552776500,74.8717942800,68.9151300000,69.0349824000,1723071,411341531.0000
2020-03-10,69.2117646900,73.2747610500,68.9151300000,73.1099640000,1760547,419657437.0000
2020-03-11,71.9713662000,72.5077056900,68.0611816500,68.0611816500,1627966,380451725.0000
2020-03-12,66.2603993400,67.7465691000,65.9517794100,66.7757646600,937943,209102480.0000
2020-03-13,63.1921779000,70.5930636000,61.4243550000,68.4566945700,2010746,452647038.0000
2020-03-16,69.8140230000,73.8590415000,68.3488274100,68.9151300000,1918701,455951511.0000
2020-03-17,71.3121780000,72.9092112300,66.2184510000,71.7286650900,1622740,382795911.0000
2020-03-18,73.0500378000,75.2433367200,70.7129160000,70.8627315000,1634918,400177661.0000
2020-03-19,71.3121780000,76.1721928200,70.4132850000,76.1662002000,1916720,472209725.0000
2020-03-20,76.7055360000,78.3984511500,73.4125913100,74.3684142000,1566767,393886814.0000
2020-03-23,71.5728569700,71.5728569700,63.6206502300,65.0199270000,1447549,329227596.0000
2020-03-24,66.6079713000,67.2971226000,61.7239860000,65.7690045000,1223724,264173014.0000
2020-03-25,68.1900229800,68.1900229800,65.6191890000,66.0386724000,972404,216342606.0000
2020-03-26,65.1997056000,66.3083403000,62.5869232800,62.6528421000,980266,209779538.0000
2020-03-27,64.0850782800,64.4206650000,61.4243550000,61.5591889500,694852,145084461.0000
2020-03-30,59.3269380000,59.3269380000,57.1276464600,58.2692405700,919931,178986139.0000
2020-03-31,59.3628937200,60.8220966900,58.1314103100,58.2932110500,727356,144445988.0000
2020-04-01,57.8377719300,60.3486797100,57.2445025500,57.9486354000,686412,134245128.0000
2020-04-02,57.5321483100,62.2333587000,57.5321483100,62.1734325000,1118752,225398972.0000
