date,open,high,low,close,volume,amount
2000-01-04,10.7797163600,11.5304392000,10.6552871600,11.2442520400,4265863,115184983.2000
2000-01-05,11.2401044000,11.4723722400,10.9414743200,10.9539172400,5102261,138098495.9300
2000-01-06,10.9082932000,11.8000358000,10.8294880400,11.6050967200,6233899,170653689.7400
2000-01-07,11.7004924400,12.1816186800,11.5304392000,12.0032701600,8385791,240418538.4000
2000-01-10,12.1774710400,12.3931483200,11.9783843200,12.1235517200,5868613,172145275.9100
2000-01-11,12.0281560000,12.1111088000,11.1986280000,11.4640769600,5289820,148548462.0700
2000-01-12,10.7838640000,11.5968014400,10.7838640000,10.9622125200,3745270,100138456.8000
2000-01-13,11.4308958400,11.4308958400,10.7423876000,10.9290314000,2072690,54877322.6500
2000-01-14,10.9290314000,11.0659035200,10.5764820000,10.6469918800,2008338,51929240.2600
2000-01-17,10.6096631200,10.7838640000,10.3691000000,10.7133541200,1704855,43453711.9000
2000-01-18,10.6262536800,10.8999979200,10.5350056000,10.5847772800,1259171,32439341.0100
2000-01-19,10.5350056000,11.1364134000,10.4562004400,10.8253404000,1619793,42352056.3100
2000-01-20,10.8211927600,11.1322657600,10.7838640000,10.9663601600,1864874,49262442.1600
2000-01-21,11.1364134000,11.5719156000,10.9082932000,11.1488563200,4650170,126873673.0300
2000-01-24,11.1571516000,11.4474864000,10.9497696000,11.2815808000,3991829,107343285.4700
2000-01-25,11.1986280000,11.4267482000,10.8253404000,10.9290314000,2761348,73743516.6300
2000-01-26,10.8253404000,10.9290314000,10.5557438000,10.7465352400,2325065,60005402.0800
2000-01-27,11.1944803600,11.8207740000,10.9082932000,11.8207740000,11286648,317283301.1900
2000-01-28,12.2355380000,12.8576840000,11.8207740000,12.1774710400,13893234,414221057.1100
2000-02-14,12.8452410800,13.3968772000,12.5258728000,13.3968772000,8044600,256188430.1800
2000-02-15,13.6872120000,14.7365649200,13.6872120000,13.8614128800,16938544,587790778.5200
2000-02-16,13.6042592000,14.5167400000,13.2309716000,13.8821510800,12727217,420668261.6600
2000-02-17,14.1019760000,14.7655984000,12.4926916800,12.4926916800,15303507,487349389.5500
2000-02-18,12.0281560000,12.6834831200,11.4267482000,12.6544496400,7617071,219707295.4800
2000-02-21,12.6088256000,12.6503020000,11.6133920000,11.8829886000,6878149,199961946.4000
2000-02-22,11.8207740000,12.1857663200,11.5719156000,11.7751499600,4714179,135055280.9900
2000-02-23,11.6963448000,11.7336735600,11.2774331600,11.3313524800,3987035,110328158.1400
2000-02-24,11.3230572000,12.0281560000,11.2940237200,12.0240083600,3388122,95337459.8300
2000-02-25,12.0240083600,12.1899139600,11.6133920000,11.7170830000,3511729,100544551.3600
2000-02-28,11.6756066000,12.8576840000,11.5677679600,12.7000736800,9262855,275868769.3400
2000-02-29,12.7954694000,12.9406368000,11.9037268000,12.2065045200,5817365,172825977.0100
2000-03-01,12.1940616000,12.4346247200,11.8954315200,11.9327602800,3178453,92252324.3100
2000-03-02,11.9452032000,12.3184908000,11.7917405200,12.0737800400,2829246,81490237.3400
2000-03-03,12.1111088000,12.3599672000,11.9659414000,12.0571894800,3185809,93057430.7800
2000-03-06,12.0696324000,12.1733234000,11.4060100000,11.4433387600,3772050,106620527.0100
2000-03-07,11.4060100000,11.6133920000,11.2401044000,11.5677679600,2525604,69805604.0400
2000-03-08,11.6548684000,11.8207740000,11.4267482000,11.6963448000,2343433,65528189.0400
2000-03-09,11.8166263600,11.9783843200,11.5304392000,11.7668546800,2472358,69843278.3400
2000-03-10,11.7378212000,11.9825319600,11.4391911200,11.4889628000,2071488,57999438.0300
2000-03-13,11.4391911200,11.8207740000,11.3645336000,11.7212306400,1557671,43413903.7200
2000-03-14,11.4474864000,11.4889628000,10.7838640000,11.2525473200,3255818,88008317.9500
2000-03-15,11.2815808000,11.5470297600,11.0741988000,11.1861850800,2599080,70780035.8300
2000-03-16,11.0327224000,11.0741988000,10.5764820000,10.6884682800,3204662,83358159.0600
2000-03-17,10.6884682800,11.1364134000,10.5972202000,11.0741988000,2338089,61558911.7000
2000-03-20,10.9082932000,11.3230572000,10.6594348000,11.2069232800,2124891,56702339.7700
2000-03-21,11.1571516000,11.1986280000,10.9705078000,11.0576082400,1314783,35004743.3700
2000-03-22,11.0659035200,11.6963448000,11.0659035200,11.2898760800,2137385,58754829.3700
2000-03-23,11.2857284400,11.4267482000,11.1156752000,11.3645336000,1359849,36912373.4500
2000-03-24,11.4889628000,11.6963448000,11.3230572000,11.3562383200,3207608,89541132.4500
2000-03-27,11.3230572000,11.8207740000,11.1986280000,11.6507207600,3727120,104431927.9100
2000-03-28,11.7295259200,11.8207740000,11.5304392000,11.6590160400,2238702,62831338.0000
2000-03-29,11.6756066000,11.9244650000,11.6341302000,11.7668546800,3082913,87719504.0000
2000-03-30,11.6963448000,11.8207740000,11.5138486400,11.5802108800,1681260,47060800.4800
2000-03-31,11.5926538000,11.6548684000,11.2608426000,11.5014057200,2139442,58926632.9100
2000-04-03,11.4060100000,11.6465731200,11.2857284400,11.5387344800,1556367,43176547.2900
2000-04-04,11.4889628000,11.4889628000,11.1986280000,11.2940237200,974537,26609503.6900
2000-04-05,11.2027756400,11.4391911200,11.1405610400,11.2152185600,1253049,33909363.6100
2000-04-06,11.2110709200,11.4060100000,11.1073799200,11.2815808000,1369236,37125668.3200
2000-04-07,11.2815808000,11.6548684000,11.2608426000,11.4474864000,1423818,39276418.2600
2000-04-10,11.4060100000,11.6963448000,11.3023190000,11.5719156000,1487380,41559741.2700
2000-04-11,11.5719156000,12.7291071600,11.5221439200,12.7291071600,11385289,341634500.7300
2000-04-12,12.7125166000,12.8576840000,11.4889628000,12.0074178000,9827180,286836308.9700
2000-04-13,11.9452032000,13.2102334000,11.7378212000,13.0277372400,28229692,881715433.4200
2000-04-14,13.0028514000,13.5586351600,12.8576840000,13.0318848800,13201503,420955824.3700
2000-04-17,12.8618316400,13.0235896000,12.0696324000,12.1525852000,7926075,237360994.2500
2000-04-18,12.2770144000,13.3554008000,12.2770144000,13.2600050800,13506247,423145969.3600
2000-04-19,13.4590918000,13.8116412000,13.1314282400,13.3263673200,13695891,446752029.5600
2000-04-20,13.2309716000,13.4798300000,13.0692136400,13.3139244000,5839946,187013181.7300
2000-04-21,13.3554008000,13.8116412000,12.9364891600,13.0152943200,6339640,203624652.2000
2000-04-24,12.9406368000,13.2185286800,12.4429200000,12.5632015600,4716828,144620941.4400
2000-04-25,12.5632015600,12.7747312000,12.3807054000,12.5673492000,3214036,96988232.8000
2000-04-26,12.5756444800,12.8576840000,12.3931483200,12.4761011200,2430122,73843358.2800
2000-04-27,12.5258728000,12.6503020000,11.7378212000,11.8207740000,8157845,235650405.2400
2000-04-28,11.7378212000,12.4926916800,11.6133920000,12.3972959600,7280313,210821705.1500
2000-05-08,12.3972959600,12.4429200000,11.8332169200,11.9617937600,3658295,105534954.9200
2000-05-09,11.8207740000,11.9452032000,11.5719156000,11.7544117600,3877237,108999496.1700
2000-05-10,11.6963448000,11.7378212000,11.4889628000,11.5262915600,1917357,53544184.7700
2000-05-11,11.4101576400,11.6258349200,11.0327224000,11.0907893600,2672551,72655832.2700
2000-05-12,11.1986280000,11.3562383200,11.0534606000,11.1820374400,2250392,60808490.0300
2000-05-15,11.1986280000,11.2815808000,10.8211927600,10.8709644400,1696798,44791523.8600
2000-05-16,10.8999979200,11.1737421600,10.8999979200,11.0783464400,1252564,33370863.3500
2000-05-17,11.1488563200,11.3645336000,10.9414743200,11.0866417200,1119866,30121957.5600
2000-05-18,11.0949370000,11.2857284400,10.9165884800,11.2774331600,1100625,29514759.7200
2000-05-19,11.2857284400,11.3894194400,11.1198228400,11.3355001200,1594132,43303340.9300
2000-05-22,11.3230572000,11.7378212000,11.1986280000,11.6092443600,2717520,75310594.8900
2000-05-23,11.6548684000,11.6963448000,11.2815808000,11.3272048400,1690302,46431642.5300
2000-05-24,11.3230572000,11.7378212000,11.2110709200,11.5511774000,3484452,96636812.2200
2000-05-25,11.6133920000,11.6963448000,11.5304392000,11.5968014400,2395242,67008021.3800
2000-05-26,11.6133920000,11.9452032000,11.4060100000,11.6756066000,2924902,82583053.3600
2000-05-29,11.7378212000,11.8000358000,11.5719156000,11.5885061600,2269344,63792358.1800
2000-05-30,11.5885061600,11.5885061600,11.5885061600,11.5885061600,0,0.0000
2000-05-31,11.6507207600,11.7378212000,11.2732855200,11.3479430400,1792458,49181669.1700
2000-06-01,11.3645336000,11.5304392000,11.2857284400,11.3355001200,1828427,50048445.8200
2000-06-02,11.3230572000,11.4433387600,11.1986280000,11.3728288800,1904392,51883386.1600
2000-06-05,11.3645336000,11.7212306400,11.2110709200,11.5304392000,2733231,75732324.2800
2000-06-06,11.6133920000,11.9783843200,11.6133920000,11.9659414000,4557655,130402265.0000
2000-06-07,12.0281560000,12.1525852000,11.7295259200,11.7668546800,2190783,62793931.1200
2000-06-08,11.7668546800,11.8207740000,11.4682246000,11.5055533600,1513898,42142947.5000
2000-06-09,11.5014057200,11.6133920000,11.3437954000,11.3852718000,1359513,37512757.1200
2000-06-12,11.3852718000,11.3852718000,11.2193662000,11.2691378800,1630277,44330445.8500
2000-06-13,11.2940384000,11.5390193800,11.2691250800,11.4186050000,2175876,59229975.6000
2000-06-14,11.4269094400,11.4269094400,11.2109940000,11.2940384000,2491174,67575991.9100
2000-06-15,11.2940384000,11.3770828000,11.1279496000,11.2774295200,1143037,30946679.3400
2000-06-16,11.2940384000,11.3646261400,11.2026895600,11.2400595400,1575237,42644740.1300
2000-06-19,11.2525162000,11.2940384000,11.1279496000,11.1860806800,968850,26111806.8100
2000-06-20,11.1694718000,11.3978439000,11.1279496000,11.2109940000,847542,22945731.8700
2000-06-21,11.2317551000,11.6220637800,11.2317551000,11.4725838600,1497101,41264109.2800
2000-06-22,11.5722371400,11.5846938000,11.3189517200,11.3314083800,762367,20936116.3500
2000-06-23,11.2525162000,11.5639327000,11.2068417800,11.4725838600,2182804,59815605.7200
2000-06-26,11.4974971800,11.6262160000,11.2442117600,11.2566684200,2261791,62041488.2600
2000-06-27,11.2608206400,11.4186050000,11.2525162000,11.2732773000,1078194,29317027.1200
2000-06-28,11.2898861800,11.4601272000,11.2109940000,11.2525162000,1241872,33796526.4100
2000-06-29,11.2649728600,11.3314083800,11.1321018200,11.1860806800,1683067,45276748.1300
2000-06-30,11.1819284600,11.2109940000,11.0449052000,11.0988840600,1555301,41558216.3500
2000-07-03,11.0449052000,11.0988840600,10.8788164000,10.8871208400,1769881,46580070.4400
2000-07-04,10.7999242200,10.9950785600,10.7999242200,10.9618608000,770984,20225356.7900
2000-07-05,10.9618608000,11.0407529800,10.8289897600,10.8372942000,1173354,30685090.8200
2000-07-06,10.8372942000,10.9410997000,10.8123808800,10.8705119600,728063,19030463.7900
2000-07-07,10.8705119600,10.9909263400,10.8289897600,10.9078819400,618413,16224795.4300
2000-07-10,10.9618608000,10.9950785600,10.6712054000,10.7334887000,2186896,56692055.9600
2000-07-11,10.7334887000,11.1279496000,10.3805500000,11.1196451600,3368904,86660569.6600
2000-07-12,11.1113407200,11.1196451600,10.7957720000,10.8497508600,1266193,33244884.8500
2000-07-13,10.8580553000,11.3231039400,10.8040764400,11.1694718000,2540063,67930143.2800
2000-07-14,11.2192984400,11.2857339600,11.0366007600,11.0532096400,1152208,30884772.9100
2000-07-17,11.0532096400,11.0656663000,10.8829686200,10.9078819400,951514,25016623.8600
2000-07-18,10.9120341600,11.0781229600,10.8912730600,10.9867741200,611816,16144847.2800
2000-07-19,11.0282963200,11.1694718000,10.9618608000,10.9826219000,579896,15424053.2100
2000-07-20,10.9535563600,10.9826219000,10.8206853200,10.8497508600,842827,22027443.2100
2000-07-21,10.8497508600,10.8622075200,10.7127276000,10.7750109000,1172287,30404571.7100
2000-07-24,10.7542498000,10.7542498000,10.5590954600,10.5964654400,1138129,29077636.2000
2000-07-25,10.5881610000,10.6504443000,10.4635944000,10.5673999000,1383937,35172920.7400
2000-07-26,10.5881610000,10.7874675600,10.5881610000,10.6338354200,723311,18632085.4900
