date,open,high,low,close,volume,amount
2003-06-03,3.6948763000,3.7973619200,3.6409365000,3.7056642600,27149617,373927389.0000
2003-06-04,3.7056642600,3.7757860000,3.6139666000,3.6921793100,12359717,170348500.0000
2003-06-05,3.6813913500,3.7703920200,3.6409365000,3.6571184400,5433395,74596494.0000
2003-06-06,3.6409365000,3.8566957000,3.6166635900,3.8027559000,10958580,153071068.0000
2003-06-09,3.7757860000,3.7946649300,3.6948763000,3.7056642600,4641966,64297768.0000
2003-06-10,3.7029672700,3.7488161000,3.6490274700,3.7002702800,2647569,36127763.0000
2003-06-11,3.7218462000,3.7542100800,3.6490274700,3.7434221200,2676904,36808762.0000
2003-06-12,3.7380281400,3.8486047300,3.7218462000,3.7784829900,5254546,73973471.0000
2003-06-13,3.7838769700,3.8297258000,3.7299371700,3.7380281400,2672665,37384037.0000
2003-06-16,3.7380281400,3.7703920200,3.6679064000,3.6948763000,2310204,31845803.0000
2003-06-17,3.6948763000,3.7461191100,3.6706033900,3.6921793100,1294681,17770162.0000
2003-06-18,3.6948763000,3.7380281400,3.6679064000,3.6706033900,1440139,19721134.0000
2003-06-19,3.6625124200,3.6867853300,3.5411478700,3.6085726200,3721784,49831678.0000
2003-06-20,3.6085726200,3.6085726200,3.4791171000,3.5006930200,2309698,30323201.0000
2003-06-23,3.4791171000,3.4791171000,3.4305712800,3.4494502100,1437670,18405840.0000
2003-06-24,3.4332682700,3.5006930200,3.4332682700,3.4629351600,1110725,14290366.0000
2003-06-25,3.4656321500,3.4845110800,3.3739344900,3.3847224500,1613423,20435357.0000
2003-06-26,3.3604495400,3.4737231200,3.3442676000,3.4251773000,1614964,20349653.0000
2003-06-27,3.3739344900,3.4197833200,3.2876308100,3.2903278000,1431172,17682000.0000
2003-06-30,3.2768428500,3.3631465300,3.2525699400,3.3119037200,987531,12115646.0000
2003-07-01,3.3307826500,3.3523585700,3.2498729500,3.2822368300,815129,10009365.0000
2003-07-02,3.2822368300,3.3955104100,3.2660548900,3.3523585700,1371884,17029270.0000
2003-07-03,3.3442676000,3.3766314800,3.3280856600,3.3604495400,818372,10179933.0000
2003-07-04,3.3604495400,3.3712375000,3.2903278000,3.2930247900,671595,8263944.0000
2003-07-07,3.2633579000,3.3172977000,3.2579639200,3.3119037200,515974,6287806.0000
2003-07-08,3.2795398400,3.3982074000,3.2741458600,3.3604495400,1372038,17129373.0000
2003-07-09,3.3766314800,3.4332682700,3.3712375000,3.3874194400,1073593,13523754.0000
2003-07-10,3.3739344900,3.4521472000,3.3442676000,3.4251773000,1955613,24830926.0000
2003-07-11,3.4224803100,3.4359652600,3.3820254600,3.3982074000,785917,9932670.0000
2003-07-14,3.3982074000,3.4494502100,3.3631465300,3.3712375000,578859,7244374.0000
2003-07-15,3.3685405100,3.4062983700,3.3523585700,3.3712375000,493036,6167500.0000
2003-07-16,3.3712375000,3.3874194400,3.2849338200,3.3119037200,1132070,13921728.0000
2003-07-17,3.3119037200,3.3442676000,3.2795398400,3.2903278000,1274152,15576592.0000
