code,name,track,ipo_date,status
688981.SH,中芯国际,semiconductor,中芯国际,2020-07-16
002371.SZ,北方华创,semiconductor,北方华创,2010-03-16
688012.SH,中微公司,semiconductor,中微公司,2019-07-22
000636.SZ,风华高科,semiconductor,风华高科,1996-11-29
600183.SH,生益科技,semiconductor,生益科技,1998-10-28
600703.SH,三安光电,semiconductor,三安光电,1996-05-28
603986.SH,兆易创新,semiconductor,兆易创新,2016-08-18
603501.SH,韦尔股份,semiconductor,豪威集团,2017-05-04
002049.SZ,紫光国微,semiconductor,紫光国微,2005-06-06
688396.SH,华润微,semiconductor,华润微,2020-02-27
300782.SZ,卓胜微,semiconductor,卓胜微,2019-06-18
300661.SZ,圣邦股份,semiconductor,圣邦股份,2017-06-06
688126.SH,沪硅产业,semiconductor,沪硅产业,2020-04-20
600584.SH,长电科技,semiconductor,长电科技,2003-06-03
300604.SZ,长川科技,semiconductor,长川科技,2017-04-17
688728.SH,格科微,semiconductor,格科微,2021-08-18
600745.SH,闻泰科技,semiconductor,*ST闻泰,1996-08-28
300567.SZ,精测电子,semiconductor,精测电子,2016-11-22
603290.SH,斯达半导,semiconductor,斯达半导,2020-02-04
600460.SH,士兰微,semiconductor,士兰微,2003-03-11
002156.SZ,通富微电,semiconductor,通富微电,2007-08-16
688072.SH,拓荆科技,semiconductor,拓荆科技,2022-04-20
688037.SH,芯源微,semiconductor,芯源微,2019-12-16
301269.SZ,华大九天,semiconductor,华大九天,2022-07-29
688187.SH,时代电气,semiconductor,时代电气,2021-09-07
688052.SH,纳芯微,semiconductor,纳芯微,2022-04-22
300308.SZ,中际旭创,ai,中际旭创,2012-04-10
601138.SH,工业富联,ai,工业富联,2018-06-08
688041.SH,海光信息,ai,海光信息,2022-08-12
300502.SZ,新易盛,ai,新易盛,2016-03-03
002281.SZ,光迅科技,ai,光迅科技,2009-08-21
688256.SH,寒武纪,ai,寒武纪,2020-07-20
603019.SH,中科曙光,ai,中科曙光,2014-11-06
000977.SZ,浪潮信息,ai,浪潮信息,2000-06-08
300394.SZ,天孚通信,ai,天孚通信,2015-02-17
603083.SH,剑桥科技,ai,剑桥科技,2017-11-10
000988.SZ,华工科技,ai,华工科技,2000-06-08
002230.SZ,科大讯飞,ai,科大讯飞,2008-05-12
688111.SH,金山办公,ai,金山办公,2019-11-18
300418.SZ,昆仑万维,ai,昆仑万维,2015-01-21
300474.SZ,景嘉微,ai,景嘉微,2016-03-31
688047.SH,龙芯中科,ai,龙芯中科,2022-06-24
300124.SZ,汇川技术,robot,汇川技术,2010-09-28
688017.SH,绿的谐波,robot,绿的谐波,2020-08-28
002472.SZ,双环传动,robot,双环传动,2010-09-10
688160.SH,步科股份,robot,步科股份,2020-11-12
002896.SZ,中大力德,robot,中大力德,2017-08-29
002747.SZ,埃斯顿,robot,埃斯顿,2015-03-20
300607.SZ,拓斯达,robot,拓斯达,2017-02-09
688320.SH,禾川科技,robot,禾川科技,2022-04-28
300161.SZ,华中数控,robot,华中数控,2011-01-13
000837.SZ,秦川机床,robot,秦川机床,1998-09-28
300503.SZ,昊志机电,robot,昊志机电,2016-03-09
301368.SZ,丰立智能,robot,丰立智能,2022-12-15
300024.SZ,机器人,robot,机器人,2009-10-30
002979.SZ,雷赛智能,robot,雷赛智能,2020-04-08
003021.SZ,兆威机电,robot,兆威机电,2020-12-04
688698.SH,伟创电气,robot,伟创电气,2020-12-29
603986.SH,兆易创新,storage,兆易创新,2016-08-18
300223.SZ,北京君正,storage,北京君正,2011-05-31
688008.SH,澜起科技,storage,澜起科技,2019-07-22
002185.SZ,华天科技,storage,华天科技,2007-11-20
600584.SH,长电科技,storage,长电科技,2003-06-03
301308.SZ,江波龙,storage,江波龙,2022-08-05
688110.SH,东芯股份,storage,东芯股份,2021-12-10
688525.SH,佰维存储,storage,佰维存储,2022-12-30
001309.SZ,德明利,storage,德明利,2022-07-01
688766.SH,普冉股份,storage,普冉股份,2021-08-23
688123.SH,聚辰股份,storage,聚辰股份,2019-12-23
000021.SZ,深科技,storage,深科技,1994-02-02
688019.SH,安集科技,material,安集科技,2019-07-22
300054.SZ,鼎龙股份,material,鼎龙股份,2010-02-11
